movie_id,movie_title,title_year,language,country,color,genres,imdb_score,plot_keywords,director_name,num_voted_users,num_user_for_reviews,num_critic_for_reviews,content_rating,facenumber_in_poster,movie_imdb_link,,,,
,Rebecca,1940,English,USA, Black and White,Drama|Film-Noir|Mystery|Thriller,8.2,death|estate|housekeeper|love|monte carlo,Alfred Hitchcock,87424,276,144,Not Rated,2,http://www.imdb.com/title/tt0032976/?ref_=fn_tt_tt_1,,,,          
,The Blue Bird,1940,English,USA, Black and White,Drama|Family|Fantasy,6.5,1800s|bird|blue bird of happiness|foreign language adaptation|past,Walter Lang,1047,25,7,Approved,1,http://www.imdb.com/title/tt0032264/?ref_=fn_tt_tt_1,,,,          
,How Green Was My Valley,1941,English,USA, Black and White,Drama|Family,7.8,coal mine|girl|school|village|wales,John Ford,15840,124,74,Approved,5,http://www.imdb.com/title/tt0033729/?ref_=fn_tt_tt_1,,,,          
,Casablanca,1942,English,USA,Color,Drama|Romance|War,8.6,american expatriate|casablanca morocco|gestapo|police|visa,Michael Curtiz,387508,1123,242,PG,4,http://www.imdb.com/title/tt0034583/?ref_=fn_tt_tt_1,,,,          
,Bambi,1942,English,USA,Color,Animation|Drama|Family,7.4,animal|bambi|deer|forest|hunter,James Algar,94225,136,116,Approved,0,http://www.imdb.com/title/tt0034492/?ref_=fn_tt_tt_1,,,,          
,A Guy Named Joe,1943,English,USA, Black and White,Drama|Fantasy|Romance|War,7,heaven|pilot|teacher|training|world war two,Victor Fleming,1553,27,9,Passed,0,http://www.imdb.com/title/tt0035959/?ref_=fn_tt_tt_1,,,,          
,Bathing Beauty,1944,English,USA,Color,Comedy|Musical,6.5,college|teacher|theatrical producer|tutu|wedding,George Sidney,1079,28,8,Passed,2,http://www.imdb.com/title/tt0036628/?ref_=fn_tt_tt_1,,,,          
,State Fair,1945,English,USA,Color,Musical|Romance,7.1,fair|farm|iowa|newspaper|state fair,Walter Lang,2756,55,17,Approved,2,http://www.imdb.com/title/tt0038116/?ref_=fn_tt_tt_1,,,,          
,The Valley of Decision,1945,English,USA, Black and White,Drama,7.5,immigrant|maid|steel mill|strike|union,Tay Garnett,1314,29,7,Passed,0,http://www.imdb.com/title/tt0038213/?ref_=fn_tt_tt_1,,,,          
,Spellbound,1945,English,USA,Color,Film-Noir|Mystery|Romance|Thriller,7.6,amnesia|dream analysis|dream sequence|guilt complex|post traumatic stress disorder,Alfred Hitchcock,32927,161,97,Unrated,1,http://www.imdb.com/title/tt0038109/?ref_=fn_tt_tt_1,,,,          
,The Lost Weekend,1945,English,USA, Black and White,Drama|Film-Noir,8,addiction|alcoholic|alcoholism|paranoia|suicidal thoughts,Billy Wilder,24959,136,97,Not Rated,4,http://www.imdb.com/title/tt0037884/?ref_=fn_tt_tt_1,,,,          
,Duel in the Sun,1946,English,USA,Color,Drama|Romance|Western,6.9,box office hit|half breed|infidelity|shooting|texas,King Vidor,6304,87,32,Unrated,0,http://www.imdb.com/title/tt0038499/?ref_=fn_tt_tt_1,,,,          
,It's a Wonderful Life,1946,English,USA,Color,Drama|Family|Fantasy|Romance,8.6,angel|bank|guardian angel|second chance|small town life,Frank Capra,275720,706,206,PG,0,http://www.imdb.com/title/tt0038650/?ref_=fn_tt_tt_1,,,,          
,The Best Years of Our Lives,1946,English,USA, Black and White,Drama|Romance|War,8.1,love|pity|readjusting to civilian life|veteran|world war two veteran,William Wyler,40359,235,97,Not Rated,5,http://www.imdb.com/title/tt0036868/?ref_=fn_tt_tt_1,,,,          
,Tycoon,1947,English,USA,Color,Adventure|Drama|Romance,6.2,engineer|ethics|mountain|railroad|south america,Richard Wallace,989,23,9,Approved,1,http://www.imdb.com/title/tt0039927/?ref_=fn_tt_tt_1,,,,          
,Gentleman's Agreement,1947,English,USA, Black and White,Drama|Romance,7.4,bigotry|jewish|prejudice|racism|writer,Elia Kazan,10791,113,61,Approved,3,http://www.imdb.com/title/tt0039416/?ref_=fn_tt_tt_1,,,,          
,The Lady from Shanghai,1947,English,USA, Black and White,Crime|Drama|Film-Noir|Mystery|Thriller,7.7,law partner|murder|partner|seaman|yacht,Orson Welles,19236,175,90,Not Rated,1,http://www.imdb.com/title/tt0040525/?ref_=fn_tt_tt_1,,,,          
,The Pirate,1948,English,USA,Color,Adventure|Comedy|Musical|Romance,7.1,hoop|horseback riding|love|pirate|singer,Vincente Minnelli,3258,54,41,Approved,0,http://www.imdb.com/title/tt0040694/?ref_=fn_tt_tt_1,,,,          
,Red River,1948,English,USA, Black and White,Action|Adventure|Romance|Western,7.8,cattle|cattle drive|cowboy|kansas|texas,Howard Hawks,21316,162,91,Approved,0,http://www.imdb.com/title/tt0040724/?ref_=fn_tt_tt_1,,,,          
,Open Secret,1948,English,USA, Black and White,Crime|Drama,7.1,anti semitism|gangster,John Reinhardt,67,9,1,Approved,3,http://www.imdb.com/title/tt0040671/?ref_=fn_tt_tt_1,,,,          
,She Wore a Yellow Ribbon,1949,English,USA,Color,Western,7.4,captain|cavalry|fort|retirement|yellow ribbon,John Ford,11920,90,55,Unrated,1,http://www.imdb.com/title/tt0041866/?ref_=fn_tt_tt_1,,,,          
,Sands of Iwo Jima,1949,English,USA, Black and White,Action|Drama|Romance|War,7.2,battle|combat|heroic military|sergeant|tarawa,Allan Dwan,7346,69,40,Approved,0,http://www.imdb.com/title/tt0041841/?ref_=fn_tt_tt_1,,,,          
,Annie Get Your Gun,1950,English,USA,Color,Biography|Comedy|Musical|Romance|Western,7,girl|gun|love|sharpshooter|the end,George Sidney,3167,90,21,Passed,0,http://www.imdb.com/title/tt0042200/?ref_=fn_tt_tt_1,,,,          
,Quo Vadis,1951,English,USA,Color,Biography|Drama|History|Romance,7.2,christian|emperor|general|hostage|nero,Mervyn LeRoy,9808,90,54,Passed,0,http://www.imdb.com/title/tt0043949/?ref_=fn_tt_tt_1,,,,          
,Show Boat,1951,English,USA,Color,Drama|Family|Musical|Romance,7,gambling|interracial marriage|love|miscegenation|showboat,George Sidney,3538,46,14,Approved,3,http://www.imdb.com/title/tt0044030/?ref_=fn_tt_tt_1,,,,          
,A Streetcar Named Desire,1951,English,USA, Black and White,Drama,8,brother in law sister in law relationship|expectant father|histrionic personality disorder|middle aged woman|off screen rape,Elia Kazan,78454,233,94,PG,0,http://www.imdb.com/title/tt0044081/?ref_=fn_tt_tt_1,,,,          
,The Greatest Show on Earth,1952,English,USA,Color,Drama|Family|Romance,6.7,circus|clown|elephant trainer|trapeze|trapeze artist,Cecil B. DeMille,9456,107,44,Not Rated,0,http://www.imdb.com/title/tt0044672/?ref_=fn_tt_tt_1,,,,          
,Singin' in the Rain,1952,English,USA,Color,Comedy|Musical|Romance,8.3,actress|chorus girl|fan|friend|love,Stanley Donen,150020,568,169,Approved,0,http://www.imdb.com/title/tt0045152/?ref_=fn_tt_tt_1,,,,          
,Deadline - U.S.A.,1952,English,USA, Black and White,Crime|Drama|Film-Noir,7.2,editor|gangster|newspaper|organized crime|press,Richard Brooks,1756,28,27,,0,http://www.imdb.com/title/tt0044533/?ref_=fn_tt_tt_1,,,,          
,High Noon,1952,English,USA, Black and White,Thriller|Western,8.1,appeasement|frontier justice|justice|one against many|street shootout,Fred Zinnemann,80193,333,153,PG,0,http://www.imdb.com/title/tt0044706/?ref_=fn_tt_tt_1,,,,          
,The Robe,1953,English,USA,Color,Drama|History,6.8,box office hit|crucifixion|nightmare|palestine|robe,Henry Koster,6359,69,42,Unrated,1,http://www.imdb.com/title/tt0046247/?ref_=fn_tt_tt_1,,,,          
,From Here to Eternity,1953,English,USA, Black and White,Drama|Romance|War,7.8,boxing|captain|hawaii|love|sergeant,Fred Zinnemann,33987,150,101,Not Rated,5,http://www.imdb.com/title/tt0045793/?ref_=fn_tt_tt_1,,,,          
,Niagara,1953,English,USA,Color,Crime|Film-Noir|Thriller,7.1,hitchcockian|husband murders wife|murder|niagara falls|overhead shot,Henry Hathaway,11047,116,74,Approved,0,http://www.imdb.com/title/tt0046126/?ref_=fn_tt_tt_1,,,,          
,"The Beast from 20,000 Fathoms",1953,English,USA, Black and White,Adventure|Horror|Sci-Fi,6.7,arctic|beast|dinosaur|monster|rhedosaurus,Eugène Lourié,4812,88,67,Approved,0,http://www.imdb.com/title/tt0045546/?ref_=fn_tt_tt_1,,,,          
,"20,000 Leagues Under the Sea",1954,English,USA,Color,Adventure|Drama|Family|Fantasy|Sci-Fi,7.2,captain|expedition|sea|submarine|whale,Richard Fleischer,22123,108,69,Approved,0,http://www.imdb.com/title/tt0046672/?ref_=fn_tt_tt_1,,,,          
,The Egyptian,1954,English,USA,Color,Drama|History,6.6,afterlife|egypt|pharaoh|princess|pyramid,Michael Curtiz,2498,67,15,Approved,0,http://www.imdb.com/title/tt0046949/?ref_=fn_tt_tt_1,,,,          
,On the Waterfront,1954,English,USA, Black and White,Crime|Drama|Romance,8.2,death|dock|longshoreman|murder|union,Elia Kazan,100890,281,134,Not Rated,2,http://www.imdb.com/title/tt0047296/?ref_=fn_tt_tt_1,,,,          
,Seven Samurai,1954,Japanese,Japan, Black and White,Action|Adventure|Drama,8.7,16th century|battle|japan|practice|samurai,Akira Kurosawa,229012,596,153,Unrated,6,http://www.imdb.com/title/tt0047478/?ref_=fn_tt_tt_1,,,,          
,"20,000 Leagues Under the Sea",1954,English,USA,Color,Adventure|Drama|Family|Fantasy|Sci-Fi,7.2,captain|expedition|sea|submarine|whale,Richard Fleischer,22124,108,69,Approved,0,http://www.imdb.com/title/tt0046672/?ref_=fn_tt_tt_1,,,,          
,The Trouble with Harry,1955,English,USA,Color,Comedy|Mystery|Romance,7.2,artist|death|hunting|sheriff|vermont,Alfred Hitchcock,24891,150,73,Approved,0,http://www.imdb.com/title/tt0048750/?ref_=fn_tt_tt_1,,,,          
,Ordet,1955,Danish,Denmark, Black and White,Drama|Fantasy,8.1,august|doctor|faith|patriarch|prayer,Carl Theodor Dreyer,9903,49,54,Not Rated,0,http://www.imdb.com/title/tt0048452/?ref_=fn_tt_tt_1,,,,          
,Moby Dick,1956,English,USA,Color,Adventure|Drama,7.4,obsession|revenge|ship|whale|whaling,John Huston,13474,115,42,Unrated,0,http://www.imdb.com/title/tt0049513/?ref_=fn_tt_tt_1,,,,          
,Trapeze,1956,English,USA,Color,Drama|Romance,6.8,acrobat|circus|cripple|trapeze|trapeze artist,Carol Reed,3102,35,20,Approved,0,http://www.imdb.com/title/tt0049875/?ref_=fn_tt_tt_1,,,,          
,Love Me Tender,1956,English,USA, Black and White,Drama|Romance|Western,6.2,army|civil war|robbery|soldier|train,Robert D. Webb,2636,36,39,,1,http://www.imdb.com/title/tt0049452/?ref_=fn_tt_tt_1,,,,          
,The Bridge on the River Kwai,1957,English,UK,Color,Adventure|Drama|War,8.2,allies|bridge|construction|jungle|sabotage,David Lean,149444,273,122,PG,2,http://www.imdb.com/title/tt0050212/?ref_=fn_tt_tt_1,,,,          
,12 Angry Men,1957,English,USA, Black and White,Crime|Drama,8.9,courtroom|dialogue driven|dialogue driven storyline|jury|murder,Sidney Lumet,447785,888,177,Not Rated,1,http://www.imdb.com/title/tt0050083/?ref_=fn_tt_tt_1,,,,          
,Cat on a Hot Tin Roof,1958,English,USA,Color,Drama|Romance,8.1,cancer|football|homosexuality|marriage|mississippi,Richard Brooks,33741,141,70,Approved,0,http://www.imdb.com/title/tt0051459/?ref_=fn_tt_tt_1,,,,          
,Solomon and Sheba,1959,English,USA,Color,Drama|History|Romance|War,6.2,king|pharaoh|queen|queen of sheba|tribe,King Vidor,2017,33,14,,2,http://www.imdb.com/title/tt0053290/?ref_=fn_tt_tt_1,,,,          
,The Nun's Story,1959,English,USA,Color,Drama,7.6,belgium|congo|convent|nun|nurse,Fred Zinnemann,7071,83,25,Not Rated,0,http://www.imdb.com/title/tt0053131/?ref_=fn_tt_tt_1,,,,          
,Some Like It Hot,1959,English,USA, Black and White,Comedy|Music|Romance,8.3,all girl band|band|cross dressing|musician|yacht,Billy Wilder,175196,350,181,Not Rated,2,http://www.imdb.com/title/tt0053291/?ref_=fn_tt_tt_1,,,,          
,Psycho,1960,English,USA, Black and White,Horror|Mystery|Thriller,8.5,money|motel|rain|shower|theft,Alfred Hitchcock,422432,1040,290,R,2,http://www.imdb.com/title/tt0054215/?ref_=fn_tt_tt_1,,,,          
,The Apartment,1960,English,USA, Black and White,Comedy|Drama|Romance,8.3,apartment|elevator|elevator girl|love|mistress,Billy Wilder,109335,241,183,Approved,2,http://www.imdb.com/title/tt0053604/?ref_=fn_tt_tt_1,,,,          
,Elmer Gantry,1960,English,USA,Color,Drama,7.9,1920s|evangelist|preacher|revival|traveling salesman,Richard Brooks,7998,81,42,Approved,1,http://www.imdb.com/title/tt0053793/?ref_=fn_tt_tt_1,,,,          
,West Side Story,1961,English,USA,Color,Crime|Drama|Musical|Romance|Thriller,7.6,dance|gang|new york city|puerto rican|tragedy,Jerome Robbins,71919,316,120,Unrated,0,http://www.imdb.com/title/tt0055614/?ref_=fn_tt_tt_1,,,,          
,The Misfits,1961,English,USA, Black and White,Drama|Romance|Western,7.4,cowboy|divorce|horse|sexy|wild horse,John Huston,12981,121,70,Approved,2,http://www.imdb.com/title/tt0055184/?ref_=fn_tt_tt_1,,,,          
,Judgment at Nuremberg,1961,English,USA, Black and White,Drama|War,8.3,judge|law|nazi|nuremberg|war crime,Stanley Kramer,44457,176,73,Not Rated,0,http://www.imdb.com/title/tt0055031/?ref_=fn_tt_tt_1,,,,          
,Pocketful of Miracles,1961,English,USA,Color,Comedy|Drama,7.3,1930s|apple|dude|luck|new york city,Frank Capra,4313,40,21,Approved,2,http://www.imdb.com/title/tt0055312/?ref_=fn_tt_tt_1,,,,          
,The Hustler,1961,English,USA, Black and White,Drama|Sport,8,drink|manager|money|partner|pool hall,Robert Rossen,62860,167,100,Unrated,1,http://www.imdb.com/title/tt0054997/?ref_=fn_tt_tt_1,,,,          
,Lolita,1962,English,UK, Black and White,Crime|Drama|Romance,7.7,lolita|nymphet|older man young girl relationship|professor|writer,Stanley Kubrick,67822,207,103,Not Rated,0,http://www.imdb.com/title/tt0056193/?ref_=fn_tt_tt_1,,,,          
,Lawrence of Arabia,1962,English,UK,Color,Adventure|Biography|Drama|History|War,8.4,arab|british military|desert|ottoman empire|t.e. lawrence,David Lean,192775,559,181,PG,8,http://www.imdb.com/title/tt0056172/?ref_=fn_tt_tt_1,,,,          
,The Longest Day,1962,English,USA, Black and White,Action|Drama|History|War,7.8,allies|d day|invasion|normandy|world war two,Ken Annakin,43270,192,53,G,3,http://www.imdb.com/title/tt0056197/?ref_=fn_tt_tt_1,,,,          
,The Man Who Shot Liberty Valance,1962,English,USA, Black and White,Drama|Western,8.1,friend|funeral|outlaw|pistol|stagecoach,John Ford,53741,214,107,Approved,1,http://www.imdb.com/title/tt0056217/?ref_=fn_tt_tt_1,,,,          
,To Kill a Mockingbird,1962,English,USA, Black and White,Crime|Drama,8.4,1930s|alabama|lawyer|six year old|trial,Robert Mulligan,215086,471,127,Not Rated,0,http://www.imdb.com/title/tt0056592/?ref_=fn_tt_tt_1,,,,          
,Lolita,1962,English,UK, Black and White,Crime|Drama|Romance,7.7,lolita|nymphet|older man young girl relationship|professor|writer,Stanley Kubrick,67825,207,103,Not Rated,0,http://www.imdb.com/title/tt0056193/?ref_=fn_tt_tt_1,,,,          
,Dr. No,1962,English,UK,Color,Action|Adventure|Thriller,7.3,british secret service|hand to hand combat|murder|official james bond series|terrorist plot,Terence Young,116642,389,184,Approved,4,http://www.imdb.com/title/tt0055928/?ref_=fn_tt_tt_1,,,,          
,The Brain That Wouldn't Die,1962,English,USA, Black and White,Horror|Sci-Fi,4.1,brain|fiance|laboratory|surgeon|surgery,Joseph Green,4752,152,95,Approved,1,http://www.imdb.com/title/tt0052646/?ref_=fn_tt_tt_1,,,,          
,McHale's Navy            ,1962,English,USA, Black and White,Comedy|War,7.5,american soldier|naval uniform|navy|patrol boat|uniform,,1558,18,4,TV-G,1,http://www.imdb.com/title/tt0055689/?ref_=fn_tt_tt_1,,,,          
,Cleopatra,1963,English,UK,Color,Biography|Drama|History|Romance,7,cleopatra|egypt|epic|queen|roman empire,Joseph L. Mankiewicz,21554,192,72,Approved,2,http://www.imdb.com/title/tt0056937/?ref_=fn_tt_tt_1,,,,          
,55 Days at Peking,1963,English,USA,Color,Action|Adventure|Drama|History|War,6.8,ambassador|boxer rebellion|china|colonialism|peking china,Nicholas Ray,4550,50,15,Unrated,3,http://www.imdb.com/title/tt0056800/?ref_=fn_tt_tt_1,,,,          
,"It's a Mad, Mad, Mad, Mad World",1963,English,USA,Color,Action|Adventure|Comedy|Crime,7.6,california|desert|dying words|money|race,Stanley Kramer,29323,344,61,Approved,0,http://www.imdb.com/title/tt0057193/?ref_=fn_tt_tt_1,,,,          
,The Great Escape,1963,English,USA,Color,Adventure|Drama|History|Thriller|War,8.3,digging|escape|escape attempt|prisoner|tunnel,John Sturges,165638,301,111,Approved,0,http://www.imdb.com/title/tt0057115/?ref_=fn_tt_tt_1,,,,          
,Donovan's Reef,1963,English,USA,Color,Adventure|Comedy|Romance,6.9,falling into water|medical doctor|priest|roof leak|swimming in the ocean,John Ford,5786,65,27,Not Rated,1,http://www.imdb.com/title/tt0057007/?ref_=fn_tt_tt_1,,,,          
,Hud,1963,English,USA, Black and White,Drama,7.9,alcoholism|forename as title|rancher|rodeo cowboy|texas,Martin Ritt,15277,120,65,Approved,0,http://www.imdb.com/title/tt0057163/?ref_=fn_tt_tt_1,,,,          
,From Russia with Love,1963,English,UK,Color,Action|Adventure|Thriller,7.5,assassin|british agent|british secret service|decoder|russian,Terence Young,89403,358,167,Approved,0,http://www.imdb.com/title/tt0057076/?ref_=fn_tt_tt_1,,,,          
,Tom Jones,1963,English,UK,Color,Adventure|Comedy|History,6.8,18th century|rags to riches|secret letter|squire|tutor,Tony Richardson,8508,56,30,Unrated,1,http://www.imdb.com/title/tt0057590/?ref_=fn_tt_tt_1,,,,          
,The Fall of the Roman Empire,1964,English,USA,Color,Drama|History|War,6.7,2nd century|emperor|european history|loosely based on historical events|roman empire,Anthony Mann,6156,91,30,Approved,0,http://www.imdb.com/title/tt0058085/?ref_=fn_tt_tt_1,,,,          
,My Fair Lady,1964,English,USA,Color,Drama|Family|Musical|Romance,7.9,colonel|flower girl|professor|street|wager,George Cukor,66959,258,82,Approved,1,http://www.imdb.com/title/tt0058385/?ref_=fn_tt_tt_1,,,,          
,Mary Poppins,1964,English,USA,Color,Comedy|Family|Fantasy|Musical,7.8,banker|female protagonist|live action and animation|magic|nanny,Robert Stevenson,107408,259,145,Approved,2,http://www.imdb.com/title/tt0058331/?ref_=fn_tt_tt_1,,,,          
,The Train,1964,English,France, Black and White,Thriller|War,7.9,art|french|german|painting|train,John Frankenheimer,10119,124,64,Unrated,0,http://www.imdb.com/title/tt0059825/?ref_=fn_tt_tt_1,,,,          
,Goldfinger,1964,English,UK,Color,Action|Adventure|Thriller,7.8,bikini|covered in melted gold|fort knox|gold|pilot,Guy Hamilton,139432,418,164,Approved,2,http://www.imdb.com/title/tt0058150/?ref_=fn_tt_tt_1,,,,          
,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,English,USA, Black and White,Comedy,8.5,bomber|doomsday|general|u.s. president|war room,Stanley Kubrick,342585,839,192,PG,0,http://www.imdb.com/title/tt0057012/?ref_=fn_tt_tt_1,,,,          
,A Hard Day's Night,1964,English,UK, Black and White,Comedy|Musical,7.7,boy|concert|drummer|manager|television,Richard Lester,31429,219,105,Approved,1,http://www.imdb.com/title/tt0058182/?ref_=fn_tt_tt_1,,,,          
,Nothing But a Man,1964,English,USA, Black and White,Drama|Romance,8.1,1960s|father|railroad|town|worker,Michael Roemer,891,26,24,Not Rated,1,http://www.imdb.com/title/tt0058414/?ref_=fn_tt_tt_1,,,,          
,A Fistful of Dollars,1964,Italian,Italy,Color,Action|Drama|Western,8,balladeer|bar|drifter|mexican|revenge,Sergio Leone,147566,235,122,R,1,http://www.imdb.com/title/tt0058461/?ref_=fn_tt_tt_1,,,,          
,Une Femme Mariée,1964,French,France, Black and White,Drama,7.4,acting|actor|face slap|fashion|magazine,Jean-Luc Godard,1962,10,36,,0,http://www.imdb.com/title/tt0058701/?ref_=fn_tt_tt_1,,,,          
,Bewitched            ,1964,English,USA, Black and White,Comedy|Family|Fantasy,7.6,connecticut|magic|marriage|witch|witchcraft,,11427,71,31,TV-G,1,http://www.imdb.com/title/tt0057733/?ref_=fn_tt_tt_1,,,,          
,The Greatest Story Ever Told,1965,English,USA,Color,Biography|Drama|History,6.6,70mm film|biblical epic|faith|jewish|king herod,George Stevens,6484,100,27,G,6,http://www.imdb.com/title/tt0059245/?ref_=fn_tt_tt_1,,,,          
,Doctor Zhivago,1965,English,USA,Color,Drama|Romance|War,8,bolshevik|poet|poetry|russia|russian revolution,David Lean,55816,255,89,PG-13,2,http://www.imdb.com/title/tt0059113/?ref_=fn_tt_tt_1,,,,          
,Thunderball,1965,English,UK,Color,Action|Adventure|Thriller,7,domino|fiery redhead|nassau|official james bond series|underwater battle,Terence Young,82073,275,129,Approved,1,http://www.imdb.com/title/tt0059800/?ref_=fn_tt_tt_1,,,,          
,The Sound of Music,1965,English,USA,Color,Biography|Drama|Family|Musical|Romance,8,austria|children|governess|love|orchestral music score,Robert Wise,148172,406,119,G,3,http://www.imdb.com/title/tt0059742/?ref_=fn_tt_tt_1,,,,          
,Major Dundee,1965,English,USA,Color,Adventure|War|Western,6.8,apache|apache indian|confederate|mexico|scout,Sam Peckinpah,5294,67,53,Approved,2,http://www.imdb.com/title/tt0059418/?ref_=fn_tt_tt_1,,,,          
