movie_id,movie_title,title_year,country,color,genres,imdb_score,plot_keywords,num_voted_users,num_user_for_reviews,num_critic_for_reviews,content_rating,facenumber_in_poster,movie_imdb_link,non_relevant_posters(ratings),non_relevant_posters(genres),,
11,Top Hat,1935,USA,0,Comedy|Musical|Romance,7.8,dance|dancer|dancing|horse|tap dancing,13269,98,66,Approved,2,http://www.imdb.com/title/tt0027125/?ref_=fn_tt_tt_1,,,,          
12,Modern Times,1936,USA,0,Comedy|Drama|Family,8.6,actor director writer|invention|machine|music score composed by director|tramp,143086,211,120,G,1,http://www.imdb.com/title/tt0027977/?ref_=fn_tt_tt_1,,,,          
13,The Charge of the Light Brigade,1936,USA,0,Action|Adventure|Romance|War,7.1,attack|fort|india|lancer|massacre,3418,52,24,Approved,3,http://www.imdb.com/title/tt0027438/?ref_=fn_tt_tt_1,,,,          
14,The Prisoner of Zenda,1937,USA,0,Adventure|Drama|Romance,7.8,coronation|fictitious country|king|princess|swashbuckler,3256,44,7,Approved,2,http://www.imdb.com/title/tt0029442/?ref_=fn_tt_tt_1,,,,          
15,Snow White and the Seven Dwarfs,1937,USA,1,Animation|Family|Fantasy|Musical,7.7,dwarf|love|princess|queen|snow white,133348,204,145,Approved,1,http://www.imdb.com/title/tt0029583/?ref_=fn_tt_tt_1,,,,          
16,Alexander's Ragtime Band,1938,USA,0,Drama|Musical|Romance,7,band|dance|ragtime|singer|violinist,1381,29,10,Approved,2,http://www.imdb.com/title/tt0029852/?ref_=fn_tt_tt_1,,,,          
17,You Can't Take It with You,1938,USA,0,Comedy|Drama|Romance,8,eccentric|friend|house|monopoly|stenographer,17799,133,51,Approved,10,http://www.imdb.com/title/tt0030993/?ref_=fn_tt_tt_1,,,,          
18,Gone with the Wind,1939,USA,1,Drama|History|Romance|War,8.2,battle of the sexes|gallantry|honesty|indifference|scandal,215340,706,157,G,1,http://www.imdb.com/title/tt0031381/?ref_=fn_tt_tt_1,,,,          
19,The Wizard of Oz,1939,USA,0,Adventure|Family|Fantasy|Musical,8.1,evil witch|tornado|witch|wizard|wizard of oz,291875,533,213,Passed,3,http://www.imdb.com/title/tt0032138/?ref_=fn_tt_tt_1,,,,          
20,Mr. Smith Goes to Washington,1939,USA,0,Comedy|Drama,8.2,camp|corruption|governor|senate|u.s. senate,77392,245,96,Not Rated,7,http://www.imdb.com/title/tt0031679/?ref_=fn_tt_tt_1,,,,          
21,Pinocchio,1940,USA,1,Animation|Family|Fantasy|Musical,7.5,boy|conscience|fairy|jiminy cricket|pinocchio,90360,147,105,Approved,0,http://www.imdb.com/title/tt0032910/?ref_=fn_tt_tt_1,,,,          
22,Fantasia,1940,USA,1,Animation|Family|Fantasy|Music,7.8,apprentice|classical music|disney|mouse|orchestra,71321,230,99,G,0,http://www.imdb.com/title/tt0032455/?ref_=fn_tt_tt_1,,,,          
23,Boom Town,1940,USA,0,Adventure|Drama|Romance|Western,7.1,oil|oil field|oil tycoon|partnership|wildcatter,2269,34,12,Passed,8,http://www.imdb.com/title/tt0032273/?ref_=fn_tt_tt_1,,,,          
24,Rebecca,1940,USA,0,Drama|Film-Noir|Mystery|Thriller,8.2,death|estate|housekeeper|love|monte carlo,87424,276,144,Not Rated,2,http://www.imdb.com/title/tt0032976/?ref_=fn_tt_tt_1,,,,          
25,The Blue Bird,1940,USA,0,Drama|Family|Fantasy,6.5,1800s|bird|blue bird of happiness|foreign language adaptation|past,1047,25,7,Approved,1,http://www.imdb.com/title/tt0032264/?ref_=fn_tt_tt_1,,,,          
26,How Green Was My Valley,1941,USA,0,Drama|Family,7.8,coal mine|girl|school|village|wales,15840,124,74,Approved,5,http://www.imdb.com/title/tt0033729/?ref_=fn_tt_tt_1,,,,          
27,Casablanca,1942,USA,1,Drama|Romance|War,8.6,american expatriate|casablanca morocco|gestapo|police|visa,387508,1123,242,PG,4,http://www.imdb.com/title/tt0034583/?ref_=fn_tt_tt_1,,,,          
28,Bambi,1942,USA,1,Animation|Drama|Family,7.4,animal|bambi|deer|forest|hunter,94225,136,116,Approved,0,http://www.imdb.com/title/tt0034492/?ref_=fn_tt_tt_1,,,,          
29,A Guy Named Joe,1943,USA,0,Drama|Fantasy|Romance|War,7,heaven|pilot|teacher|training|world war two,1553,27,9,Passed,0,http://www.imdb.com/title/tt0035959/?ref_=fn_tt_tt_1,,,,          
30,Bathing Beauty,1944,USA,1,Comedy|Musical,6.5,college|teacher|theatrical producer|tutu|wedding,1079,28,8,Passed,2,http://www.imdb.com/title/tt0036628/?ref_=fn_tt_tt_1,,,,          
31,State Fair,1945,USA,1,Musical|Romance,7.1,fair|farm|iowa|newspaper|state fair,2756,55,17,Approved,2,http://www.imdb.com/title/tt0038116/?ref_=fn_tt_tt_1,,,,          
32,The Valley of Decision,1945,USA,0,Drama,7.5,immigrant|maid|steel mill|strike|union,1314,29,7,Passed,0,http://www.imdb.com/title/tt0038213/?ref_=fn_tt_tt_1,,,,          
33,Spellbound,1945,USA,1,Film-Noir|Mystery|Romance|Thriller,7.6,amnesia|dream analysis|dream sequence|guilt complex|post traumatic stress disorder,32927,161,97,Unrated,1,http://www.imdb.com/title/tt0038109/?ref_=fn_tt_tt_1,,,,          
34,The Lost Weekend,1945,USA,0,Drama|Film-Noir,8,addiction|alcoholic|alcoholism|paranoia|suicidal thoughts,24959,136,97,Not Rated,4,http://www.imdb.com/title/tt0037884/?ref_=fn_tt_tt_1,,,,          
35,Duel in the Sun,1946,USA,1,Drama|Romance|Western,6.9,box office hit|half breed|infidelity|shooting|texas,6304,87,32,Unrated,0,http://www.imdb.com/title/tt0038499/?ref_=fn_tt_tt_1,,,,          
36,It's a Wonderful Life,1946,USA,1,Drama|Family|Fantasy|Romance,8.6,angel|bank|guardian angel|second chance|small town life,275720,706,206,PG,0,http://www.imdb.com/title/tt0038650/?ref_=fn_tt_tt_1,,,,          
37,The Best Years of Our Lives,1946,USA,0,Drama|Romance|War,8.1,love|pity|readjusting to civilian life|veteran|world war two veteran,40359,235,97,Not Rated,5,http://www.imdb.com/title/tt0036868/?ref_=fn_tt_tt_1,,,,          
38,Tycoon,1947,USA,1,Adventure|Drama|Romance,6.2,engineer|ethics|mountain|railroad|south america,989,23,9,Approved,1,http://www.imdb.com/title/tt0039927/?ref_=fn_tt_tt_1,,,,          
39,Gentleman's Agreement,1947,USA,0,Drama|Romance,7.4,bigotry|jewish|prejudice|racism|writer,10791,113,61,Approved,3,http://www.imdb.com/title/tt0039416/?ref_=fn_tt_tt_1,,,,          
40,The Lady from Shanghai,1947,USA,0,Crime|Drama|Film-Noir|Mystery|Thriller,7.7,law partner|murder|partner|seaman|yacht,19236,175,90,Not Rated,1,http://www.imdb.com/title/tt0040525/?ref_=fn_tt_tt_1,,,,          
41,The Pirate,1948,USA,1,Adventure|Comedy|Musical|Romance,7.1,hoop|horseback riding|love|pirate|singer,3258,54,41,Approved,0,http://www.imdb.com/title/tt0040694/?ref_=fn_tt_tt_1,,,,          
42,Red River,1948,USA,0,Action|Adventure|Romance|Western,7.8,cattle|cattle drive|cowboy|kansas|texas,21316,162,91,Approved,0,http://www.imdb.com/title/tt0040724/?ref_=fn_tt_tt_1,,,,          
43,Open Secret,1948,USA,0,Crime|Drama,7.1,anti semitism|gangster,67,9,1,Approved,3,http://www.imdb.com/title/tt0040671/?ref_=fn_tt_tt_1,,,,          
44,She Wore a Yellow Ribbon,1949,USA,1,Western,7.4,captain|cavalry|fort|retirement|yellow ribbon,11920,90,55,Unrated,1,http://www.imdb.com/title/tt0041866/?ref_=fn_tt_tt_1,,,,          
45,Sands of Iwo Jima,1949,USA,0,Action|Drama|Romance|War,7.2,battle|combat|heroic military|sergeant|tarawa,7346,69,40,Approved,0,http://www.imdb.com/title/tt0041841/?ref_=fn_tt_tt_1,,,,          
46,Annie Get Your Gun,1950,USA,1,Biography|Comedy|Musical|Romance|Western,7,girl|gun|love|sharpshooter|the end,3167,90,21,Passed,0,http://www.imdb.com/title/tt0042200/?ref_=fn_tt_tt_1,,,,          
47,Quo Vadis,1951,USA,1,Biography|Drama|History|Romance,7.2,christian|emperor|general|hostage|nero,9808,90,54,Passed,0,http://www.imdb.com/title/tt0043949/?ref_=fn_tt_tt_1,,,,          
48,Show Boat,1951,USA,1,Drama|Family|Musical|Romance,7,gambling|interracial marriage|love|miscegenation|showboat,3538,46,14,Approved,3,http://www.imdb.com/title/tt0044030/?ref_=fn_tt_tt_1,,,,          
49,A Streetcar Named Desire,1951,USA,0,Drama,8,brother in law sister in law relationship|expectant father|histrionic personality disorder|middle aged woman|off screen rape,78454,233,94,PG,0,http://www.imdb.com/title/tt0044081/?ref_=fn_tt_tt_1,,,,          
50,The Greatest Show on Earth,1952,USA,1,Drama|Family|Romance,6.7,circus|clown|elephant trainer|trapeze|trapeze artist,9456,107,44,Not Rated,0,http://www.imdb.com/title/tt0044672/?ref_=fn_tt_tt_1,,,,          
51,Singin' in the Rain,1952,USA,1,Comedy|Musical|Romance,8.3,actress|chorus girl|fan|friend|love,150020,568,169,Approved,0,http://www.imdb.com/title/tt0045152/?ref_=fn_tt_tt_1,,,,          
52,Deadline - U.S.A.,1952,USA,0,Crime|Drama|Film-Noir,7.2,editor|gangster|newspaper|organized crime|press,1756,28,27,NULL,0,http://www.imdb.com/title/tt0044533/?ref_=fn_tt_tt_1,,,,          
53,High Noon,1952,USA,0,Thriller|Western,8.1,appeasement|frontier justice|justice|one against many|street shootout,80193,333,153,PG,0,http://www.imdb.com/title/tt0044706/?ref_=fn_tt_tt_1,,,,          
54,The Robe,1953,USA,1,Drama|History,6.8,box office hit|crucifixion|nightmare|palestine|robe,6359,69,42,Unrated,1,http://www.imdb.com/title/tt0046247/?ref_=fn_tt_tt_1,,,,          
55,From Here to Eternity,1953,USA,0,Drama|Romance|War,7.8,boxing|captain|hawaii|love|sergeant,33987,150,101,Not Rated,5,http://www.imdb.com/title/tt0045793/?ref_=fn_tt_tt_1,,,,          
56,Niagara,1953,USA,1,Crime|Film-Noir|Thriller,7.1,hitchcockian|husband murders wife|murder|niagara falls|overhead shot,11047,116,74,Approved,0,http://www.imdb.com/title/tt0046126/?ref_=fn_tt_tt_1,,,,          
57,"The Beast from 20,000 Fathoms",1953,USA,0,Adventure|Horror|Sci-Fi,6.7,arctic|beast|dinosaur|monster|rhedosaurus,4812,88,67,Approved,0,http://www.imdb.com/title/tt0045546/?ref_=fn_tt_tt_1,,,,          
58,"20,000 Leagues Under the Sea",1954,USA,1,Adventure|Drama|Family|Fantasy|Sci-Fi,7.2,captain|expedition|sea|submarine|whale,22123,108,69,Approved,0,http://www.imdb.com/title/tt0046672/?ref_=fn_tt_tt_1,,,,          
59,The Egyptian,1954,USA,1,Drama|History,6.6,afterlife|egypt|pharaoh|princess|pyramid,2498,67,15,Approved,0,http://www.imdb.com/title/tt0046949/?ref_=fn_tt_tt_1,,,,          
60,On the Waterfront,1954,USA,0,Crime|Drama|Romance,8.2,death|dock|longshoreman|murder|union,100890,281,134,Not Rated,2,http://www.imdb.com/title/tt0047296/?ref_=fn_tt_tt_1,,,,          
61,Seven Samurai,1954,UK,0,Action|Adventure|Drama,8.7,16th century|battle|japan|practice|samurai,229012,596,153,Unrated,6,http://www.imdb.com/title/tt0047478/?ref_=fn_tt_tt_1,,,,          
62,"20,000 Leagues Under the Sea",1954,USA,1,Adventure|Drama|Family|Fantasy|Sci-Fi,7.2,captain|expedition|sea|submarine|whale,22124,108,69,Approved,0,http://www.imdb.com/title/tt0046672/?ref_=fn_tt_tt_1,,,,          
63,The Trouble with Harry,1955,USA,1,Comedy|Mystery|Romance,7.2,artist|death|hunting|sheriff|vermont,24891,150,73,Approved,0,http://www.imdb.com/title/tt0048750/?ref_=fn_tt_tt_1,,,,          
64,Ordet,1955,UK,0,Drama|Fantasy,8.1,august|doctor|faith|patriarch|prayer,9903,49,54,Not Rated,0,http://www.imdb.com/title/tt0048452/?ref_=fn_tt_tt_1,,,,          
65,Moby Dick,1956,USA,1,Adventure|Drama,7.4,obsession|revenge|ship|whale|whaling,13474,115,42,Unrated,0,http://www.imdb.com/title/tt0049513/?ref_=fn_tt_tt_1,,,,          
66,Trapeze,1956,USA,1,Drama|Romance,6.8,acrobat|circus|cripple|trapeze|trapeze artist,3102,35,20,Approved,0,http://www.imdb.com/title/tt0049875/?ref_=fn_tt_tt_1,,,,          
67,Love Me Tender,1956,USA,0,Drama|Romance|Western,6.2,army|civil war|robbery|soldier|train,2636,36,39,NULL,1,http://www.imdb.com/title/tt0049452/?ref_=fn_tt_tt_1,,,,          
68,The Bridge on the River Kwai,1957,UK,1,Adventure|Drama|War,8.2,allies|bridge|construction|jungle|sabotage,149444,273,122,PG,2,http://www.imdb.com/title/tt0050212/?ref_=fn_tt_tt_1,,,,          
69,12 Angry Men,1957,USA,0,Crime|Drama,8.9,courtroom|dialogue driven|dialogue driven storyline|jury|murder,447785,888,177,Not Rated,1,http://www.imdb.com/title/tt0050083/?ref_=fn_tt_tt_1,,,,          
70,Cat on a Hot Tin Roof,1958,USA,1,Drama|Romance,8.1,cancer|football|homosexuality|marriage|mississippi,33741,141,70,Approved,0,http://www.imdb.com/title/tt0051459/?ref_=fn_tt_tt_1,,,,          
71,Solomon and Sheba,1959,USA,1,Drama|History|Romance|War,6.2,king|pharaoh|queen|queen of sheba|tribe,2017,33,14,NULL,2,http://www.imdb.com/title/tt0053290/?ref_=fn_tt_tt_1,,,,          
72,The Nun's Story,1959,USA,1,Drama,7.6,belgium|congo|convent|nun|nurse,7071,83,25,Not Rated,0,http://www.imdb.com/title/tt0053131/?ref_=fn_tt_tt_1,,,,          
73,Some Like It Hot,1959,USA,0,Comedy|Musical|Romance,8.3,all girl band|band|cross dressing|musician|yacht,175196,350,181,Not Rated,2,http://www.imdb.com/title/tt0053291/?ref_=fn_tt_tt_1,,,,          
74,Psycho,1960,USA,0,Horror|Mystery|Thriller,8.5,money|motel|rain|shower|theft,422432,1040,290,R,2,http://www.imdb.com/title/tt0054215/?ref_=fn_tt_tt_1,,,,          
75,The Apartment,1960,USA,0,Comedy|Drama|Romance,8.3,apartment|elevator|elevator girl|love|mistress,109335,241,183,Approved,2,http://www.imdb.com/title/tt0053604/?ref_=fn_tt_tt_1,,,,          
76,Elmer Gantry,1960,USA,1,Drama,7.9,1920s|evangelist|preacher|revival|traveling salesman,7998,81,42,Approved,1,http://www.imdb.com/title/tt0053793/?ref_=fn_tt_tt_1,,,,          
77,West Side Story,1961,USA,1,Crime|Drama|Musical|Romance|Thriller,7.6,dance|gang|new york city|puerto rican|tragedy,71919,316,120,Unrated,0,http://www.imdb.com/title/tt0055614/?ref_=fn_tt_tt_1,,,,          
78,The Misfits,1961,USA,0,Drama|Romance|Western,7.4,cowboy|divorce|horse|sexy|wild horse,12981,121,70,Approved,2,http://www.imdb.com/title/tt0055184/?ref_=fn_tt_tt_1,,,,          
79,Judgment at Nuremberg,1961,USA,0,Drama|War,8.3,judge|law|nazi|nuremberg|war crime,44457,176,73,Not Rated,0,http://www.imdb.com/title/tt0055031/?ref_=fn_tt_tt_1,,,,          
80,Pocketful of Miracles,1961,USA,1,Comedy|Drama,7.3,1930s|apple|dude|luck|new york city,4313,40,21,Approved,2,http://www.imdb.com/title/tt0055312/?ref_=fn_tt_tt_1,,,,          
81,The Hustler,1961,USA,0,Drama|Sport,8,drink|manager|money|partner|pool hall,62860,167,100,Unrated,1,http://www.imdb.com/title/tt0054997/?ref_=fn_tt_tt_1,,,,          
82,Lolita,1962,UK,0,Crime|Drama|Romance,7.7,lolita|nymphet|older man young girl relationship|professor|writer,67822,207,103,Not Rated,0,http://www.imdb.com/title/tt0056193/?ref_=fn_tt_tt_1,,,,          
83,Lawrence of Arabia,1962,UK,1,Adventure|Biography|Drama|History|War,8.4,arab|british military|desert|ottoman empire|t.e. lawrence,192775,559,181,PG,8,http://www.imdb.com/title/tt0056172/?ref_=fn_tt_tt_1,,,,          
84,The Longest Day,1962,USA,0,Action|Drama|History|War,7.8,allies|d day|invasion|normandy|world war two,43270,192,53,G,3,http://www.imdb.com/title/tt0056197/?ref_=fn_tt_tt_1,,,,          
85,The Man Who Shot Liberty Valance,1962,USA,0,Drama|Western,8.1,friend|funeral|outlaw|pistol|stagecoach,53741,214,107,Approved,1,http://www.imdb.com/title/tt0056217/?ref_=fn_tt_tt_1,,,,          
86,To Kill a Mockingbird,1962,USA,0,Crime|Drama,8.4,1930s|alabama|lawyer|six year old|trial,215086,471,127,Not Rated,0,http://www.imdb.com/title/tt0056592/?ref_=fn_tt_tt_1,,,,          
87,Lolita,1962,UK,0,Crime|Drama|Romance,7.7,lolita|nymphet|older man young girl relationship|professor|writer,67825,207,103,Not Rated,0,http://www.imdb.com/title/tt0056193/?ref_=fn_tt_tt_1,,,,          
88,Dr. No,1962,UK,1,Action|Adventure|Thriller,7.3,british secret service|hand to hand combat|murder|official james bond series|terrorist plot,116642,389,184,Approved,4,http://www.imdb.com/title/tt0055928/?ref_=fn_tt_tt_1,,,,          
89,The Brain That Wouldn't Die,1962,USA,0,Horror|Sci-Fi,4.1,brain|fiance|laboratory|surgeon|surgery,4752,152,95,Approved,1,http://www.imdb.com/title/tt0052646/?ref_=fn_tt_tt_1,,,,          
90,McHale's Navy            ,1962,USA,0,Comedy|War,7.5,american soldier|naval uniform|navy|patrol boat|uniform,1558,18,4,TV-G,1,http://www.imdb.com/title/tt0055689/?ref_=fn_tt_tt_1,,,,          
91,Cleopatra,1963,UK,1,Biography|Drama|History|Romance,7,cleopatra|egypt|epic|queen|roman empire,21554,192,72,Approved,2,http://www.imdb.com/title/tt0056937/?ref_=fn_tt_tt_1,,,,          
92,55 Days at Peking,1963,USA,1,Action|Adventure|Drama|History|War,6.8,ambassador|boxer rebellion|china|colonialism|peking china,4550,50,15,Unrated,3,http://www.imdb.com/title/tt0056800/?ref_=fn_tt_tt_1,,,,          
93,"It's a Mad, Mad, Mad, Mad World",1963,USA,1,Action|Adventure|Comedy|Crime,7.6,california|desert|dying words|money|race,29323,344,61,Approved,0,http://www.imdb.com/title/tt0057193/?ref_=fn_tt_tt_1,,,,          
94,The Great Escape,1963,USA,1,Adventure|Drama|History|Thriller|War,8.3,digging|escape|escape attempt|prisoner|tunnel,165638,301,111,Approved,0,http://www.imdb.com/title/tt0057115/?ref_=fn_tt_tt_1,,,,          
95,Donovan's Reef,1963,USA,1,Adventure|Comedy|Romance,6.9,falling into water|medical doctor|priest|roof leak|swimming in the ocean,5786,65,27,Not Rated,1,http://www.imdb.com/title/tt0057007/?ref_=fn_tt_tt_1,,,,          
96,Hud,1963,USA,0,Drama,7.9,alcoholism|forename as title|rancher|rodeo cowboy|texas,15277,120,65,Approved,0,http://www.imdb.com/title/tt0057163/?ref_=fn_tt_tt_1,,,,          
97,From Russia with Love,1963,UK,1,Action|Adventure|Thriller,7.5,assassin|british agent|british secret service|decoder|russian,89403,358,167,Approved,0,http://www.imdb.com/title/tt0057076/?ref_=fn_tt_tt_1,,,,          
98,Tom Jones,1963,UK,1,Adventure|Comedy|History,6.8,18th century|rags to riches|secret letter|squire|tutor,8508,56,30,Unrated,1,http://www.imdb.com/title/tt0057590/?ref_=fn_tt_tt_1,,,,          
99,The Fall of the Roman Empire,1964,USA,1,Drama|History|War,6.7,2nd century|emperor|european history|loosely based on historical events|roman empire,6156,91,30,Approved,0,http://www.imdb.com/title/tt0058085/?ref_=fn_tt_tt_1,,,,          
100,My Fair Lady,1964,USA,1,Drama|Family|Musical|Romance,7.9,colonel|flower girl|professor|street|wager,66959,258,82,Approved,1,http://www.imdb.com/title/tt0058385/?ref_=fn_tt_tt_1,,,,          
101,Mary Poppins,1964,USA,1,Comedy|Family|Fantasy|Musical,7.8,banker|female protagonist|live action and animation|magic|nanny,107408,259,145,Approved,2,http://www.imdb.com/title/tt0058331/?ref_=fn_tt_tt_1,,,,          
102,The Train,1964,UK,0,Thriller|War,7.9,art|french|german|painting|train,10119,124,64,Unrated,0,http://www.imdb.com/title/tt0059825/?ref_=fn_tt_tt_1,,,,          
103,Goldfinger,1964,UK,1,Action|Adventure|Thriller,7.8,bikini|covered in melted gold|fort knox|gold|pilot,139432,418,164,Approved,2,http://www.imdb.com/title/tt0058150/?ref_=fn_tt_tt_1,,,,          
104,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,USA,0,Comedy,8.5,bomber|doomsday|general|u.s. president|war room,342585,839,192,PG,0,http://www.imdb.com/title/tt0057012/?ref_=fn_tt_tt_1,,,,          
105,A Hard Day's Night,1964,UK,0,Comedy|Musical,7.7,boy|concert|drummer|manager|television,31429,219,105,Approved,1,http://www.imdb.com/title/tt0058182/?ref_=fn_tt_tt_1,,,,          
106,Nothing But a Man,1964,USA,0,Drama|Romance,8.1,1960s|father|railroad|town|worker,891,26,24,Not Rated,1,http://www.imdb.com/title/tt0058414/?ref_=fn_tt_tt_1,,,,          
107,A Fistful of Dollars,1964,UK,1,Action|Drama|Western,8,balladeer|bar|drifter|mexican|revenge,147566,235,122,R,1,http://www.imdb.com/title/tt0058461/?ref_=fn_tt_tt_1,,,,          
108,Une Femme Mariée,1964,UK,0,Drama,7.4,acting|actor|face slap|fashion|magazine,1962,10,36,NULL,0,http://www.imdb.com/title/tt0058701/?ref_=fn_tt_tt_1,,,,          
109,Bewitched            ,1964,USA,0,Comedy|Family|Fantasy,7.6,connecticut|magic|marriage|witch|witchcraft,11427,71,31,TV-G,1,http://www.imdb.com/title/tt0057733/?ref_=fn_tt_tt_1,,,,          
110,The Greatest Story Ever Told,1965,USA,1,Biography|Drama|History,6.6,70mm film|biblical epic|faith|jewish|king herod,6484,100,27,G,6,http://www.imdb.com/title/tt0059245/?ref_=fn_tt_tt_1,,,,          
111,Doctor Zhivago,1965,USA,1,Drama|Romance|War,8,bolshevik|poet|poetry|russia|russian revolution,55816,255,89,PG-13,2,http://www.imdb.com/title/tt0059113/?ref_=fn_tt_tt_1,,,,          
112,Thunderball,1965,UK,1,Action|Adventure|Thriller,7,domino|fiery redhead|nassau|official james bond series|underwater battle,82073,275,129,Approved,1,http://www.imdb.com/title/tt0059800/?ref_=fn_tt_tt_1,,,,          
113,The Sound of Music,1965,USA,1,Biography|Drama|Family|Musical|Romance,8,austria|children|governess|love|orchestral music score,148172,406,119,G,3,http://www.imdb.com/title/tt0059742/?ref_=fn_tt_tt_1,,,,          
114,Major Dundee,1965,USA,1,Adventure|War|Western,6.8,apache|apache indian|confederate|mexico|scout,5294,67,53,Approved,2,http://www.imdb.com/title/tt0059418/?ref_=fn_tt_tt_1,,,,          
115,The Party's Over,1965,UK,0,Drama,7.3,beatnik|businessman|necrophilia|party|partying,340,7,12,NULL,1,http://www.imdb.com/title/tt0060816/?ref_=fn_tt_tt_1,,,,          
116,Pierrot le Fou,1965,UK,1,Crime|Drama|Romance,7.7,beach|money|on the run|party|smuggling,19386,74,96,Not Rated,1,http://www.imdb.com/title/tt0059592/?ref_=fn_tt_tt_1,,,,          
117,A Charlie Brown Christmas,1965,USA,1,Animation|Comedy|Family,8.4,christmas|christmas tree|commercialism|meaning of christmas|tree,21826,126,43,TV-G,0,http://www.imdb.com/title/tt0059026/?ref_=fn_tt_tt_1,,,,          
118,A Man for All Seasons,1966,UK,1,Biography|Drama|History,7.9,catholic|chancellor|divorce|king henry viii|thomas more,23713,167,62,Approved,0,http://www.imdb.com/title/tt0060665/?ref_=fn_tt_tt_1,,,,          
119,Harper,1966,USA,1,Action|Crime|Drama|Mystery|Thriller,7,kidnapping|los angeles california|neo noir|private detective|ransom,5941,74,22,Not Rated,1,http://www.imdb.com/title/tt0060490/?ref_=fn_tt_tt_1,,,,          
120,Torn Curtain,1966,USA,1,Thriller,6.7,defection|east germany|germany|iron curtain|scientist,18656,137,64,Approved,1,http://www.imdb.com/title/tt0061107/?ref_=fn_tt_tt_1,,,,          
121,A Funny Thing Happened on the Way to the Forum,1966,USA,1,Comedy|Musical,7,based on stage musical|based on stage musical based on stage play|freedom|historical fiction|virgin,6804,72,25,Approved,0,http://www.imdb.com/title/tt0060438/?ref_=fn_tt_tt_1,,,,          
122,Batman: The Movie,1966,USA,1,Adventure|Comedy|Family,6.5,black cat|catwoman|dc comics|penguin|riddler,22975,155,53,Approved,1,http://www.imdb.com/title/tt0060153/?ref_=fn_tt_tt_1,,,,          
123,"The Good, the Bad and the Ugly",1966,UK,1,Western,8.9,civil war|hitman|outlaw|shootout|spaghetti western,503509,780,181,Approved,3,http://www.imdb.com/title/tt0060196/?ref_=fn_tt_tt_1,,,,          
124,You Only Live Twice,1967,UK,1,Action|Adventure|Thriller,6.9,faked death|japan|japanese|poison|secret headquarters,75280,267,130,Approved,0,http://www.imdb.com/title/tt0062512/?ref_=fn_tt_tt_1,,,,          
125,In Cold Blood,1967,USA,0,Biography|Crime|Drama|History,8,homoeroticism|kansas|murder|police|robbery,19026,128,79,Approved,1,http://www.imdb.com/title/tt0061809/?ref_=fn_tt_tt_1,,,,          
126,Point Blank,1967,USA,1,Crime|Thriller,7.4,criminal|gangster|money|revenge|violence,13640,128,87,Approved,0,http://www.imdb.com/title/tt0062138/?ref_=fn_tt_tt_1,,,,          
