movie_title,title_year,language,country,duration,color,genres,imdb_score,plot_keywords,director_name,Actors_name,num_voted_users,num_user_for_reviews,num_critic_for_reviews,content_rating,aspect_ratio,budget,gross,profit,facenumber_in_poster,movie_imdb_link,,,,
It Happened One Night,1934,English,USA,65, Black and White,Comedy|Romance,8.2,bus|detective|love|money|reporter,Frank Capra,Claudette Colbert |  Alan Hale |  Walter Connolly,64888,235,124,Unrated,1.37,325000,,-325000,1,http://www.imdb.com/title/tt0025316/?ref_=fn_tt_tt_1,,,,          
Top Hat,1935,English,USA,81, Black and White,Comedy|Musical|Romance,7.8,dance|dancer|dancing|horse|tap dancing,Mark Sandrich,Ginger Rogers |  Edward Everett Horton |  Eric Blore,13269,98,66,Approved,1.37,609000,3000000,2391000,2,http://www.imdb.com/title/tt0027125/?ref_=fn_tt_tt_1,,,,          
Modern Times,1936,English,USA,87, Black and White,Comedy|Drama|Family,8.6,actor director writer|invention|machine|music score composed by director|tramp,Charles Chaplin,Paulette Goddard |  Stanley Blystone |  Fred Malatesta,143086,211,120,G,1.37,1500000,163245,-1336755,1,http://www.imdb.com/title/tt0027977/?ref_=fn_tt_tt_1,,,,          
The Charge of the Light Brigade,1936,English,USA,100, Black and White,Action|Adventure|Romance|War,7.1,attack|fort|india|lancer|massacre,Michael Curtiz,Errol Flynn |  David Niven |  Spring Byington,3418,52,24,Approved,1.37,1200000,,-1200000,3,http://www.imdb.com/title/tt0027438/?ref_=fn_tt_tt_1,,,,          
The Prisoner of Zenda,1937,English,USA,101, Black and White,Adventure|Drama|Romance,7.8,coronation|fictitious country|king|princess|swashbuckler,John Cromwell,David Niven |  Mary Astor |  Ronald Colman,3256,44,7,Approved,1.37,,,0,2,http://www.imdb.com/title/tt0029442/?ref_=fn_tt_tt_1,,,,          
Snow White and the Seven Dwarfs,1937,English,USA,83,Color,Animation|Family|Fantasy|Musical,7.7,dwarf|love|princess|queen|snow white,William Cottrell,Adriana Caselotti |  Billy Gilbert |  Lucille La Verne,133348,204,145,Approved,1.37,2000000,184925485,182925485,1,http://www.imdb.com/title/tt0029583/?ref_=fn_tt_tt_1,,,,          
Alexander's Ragtime Band,1938,English,USA,106, Black and White,Drama|Musical|Romance,7,band|dance|ragtime|singer|violinist,Henry King,Tyrone Power |  Don Ameche |  John Carradine,1381,29,10,Approved,1.37,2000000,,-2000000,2,http://www.imdb.com/title/tt0029852/?ref_=fn_tt_tt_1,,,,          
You Can't Take It with You,1938,English,USA,126, Black and White,Comedy|Drama|Romance,8,eccentric|friend|house|monopoly|stenographer,Frank Capra,Jean Arthur |  Ann Miller |  Lionel Barrymore,17799,133,51,Approved,1.37,1644736,,-1644736,10,http://www.imdb.com/title/tt0030993/?ref_=fn_tt_tt_1,,,,          
Gone with the Wind,1939,English,USA,226,Color,Drama|History|Romance|War,8.2,battle of the sexes|gallantry|honesty|indifference|scandal,Victor Fleming,Hattie McDaniel |  George Reeves |  Thomas Mitchell,215340,706,157,G,1.37,3977000,198655278,194678278,1,http://www.imdb.com/title/tt0031381/?ref_=fn_tt_tt_1,,,,          
The Wizard of Oz,1939,English,USA,102, Black and White,Adventure|Family|Fantasy|Musical,8.1,evil witch|tornado|witch|wizard|wizard of oz,Victor Fleming,Margaret Hamilton |  Terry |  Billie Burke,291875,533,213,Passed,1.37,2800000,22202612,19402612,3,http://www.imdb.com/title/tt0032138/?ref_=fn_tt_tt_1,,,,          
Mr. Smith Goes to Washington,1939,English,USA,120, Black and White,Comedy|Drama,8.2,camp|corruption|governor|senate|u.s. senate,Frank Capra,Claude Rains |  Jean Arthur |  Thomas Mitchell,77392,245,96,Not Rated,1.37,1500000,,-1500000,7,http://www.imdb.com/title/tt0031679/?ref_=fn_tt_tt_1,,,,          
Pinocchio,1940,English,USA,88,Color,Animation|Family|Fantasy|Musical,7.5,boy|conscience|fairy|jiminy cricket|pinocchio,Norman Ferguson,Mel Blanc |  Dickie Jones |  Cliff Edwards,90360,147,105,Approved,1.37,2600000,84300000,81700000,0,http://www.imdb.com/title/tt0032910/?ref_=fn_tt_tt_1,,,,          
Fantasia,1940,English,USA,120,Color,Animation|Family|Fantasy|Music,7.8,apprentice|classical music|disney|mouse|orchestra,James Algar,Leopold Stokowski |  Deems Taylor,71321,230,99,G,1.37,2280000,76400000,74120000,0,http://www.imdb.com/title/tt0032455/?ref_=fn_tt_tt_1,,,,          
Boom Town,1940,English,USA,119, Black and White,Adventure|Drama|Romance|Western,7.1,oil|oil field|oil tycoon|partnership|wildcatter,Jack Conway,Hedy Lamarr |  Spencer Tracy |  Claudette Colbert,2269,34,12,Passed,1.37,1614000,,-1614000,8,http://www.imdb.com/title/tt0032273/?ref_=fn_tt_tt_1,,,,          
Rebecca,1940,English,USA,130, Black and White,Drama|Film-Noir|Mystery|Thriller,8.2,death|estate|housekeeper|love|monte carlo,Alfred Hitchcock,Laurence Olivier |  Joan Fontaine |  George Sanders,87424,276,144,Not Rated,1.37,1288000,,-1288000,2,http://www.imdb.com/title/tt0032976/?ref_=fn_tt_tt_1,,,,          
The Blue Bird,1940,English,USA,83, Black and White,Drama|Family|Fantasy,6.5,1800s|bird|blue bird of happiness|foreign language adaptation|past,Walter Lang,Spring Byington |  Nigel Bruce |  Gale Sondergaard,1047,25,7,Approved,1.37,,,0,1,http://www.imdb.com/title/tt0032264/?ref_=fn_tt_tt_1,,,,          
How Green Was My Valley,1941,English,USA,118, Black and White,Drama|Family,7.8,coal mine|girl|school|village|wales,John Ford,Roddy McDowall |  Walter Pidgeon |  Barry Fitzgerald,15840,124,74,Approved,1.37,1250000,,-1250000,5,http://www.imdb.com/title/tt0033729/?ref_=fn_tt_tt_1,,,,          
Casablanca,1942,English,USA,82,Color,Drama|Romance|War,8.6,american expatriate|casablanca morocco|gestapo|police|visa,Michael Curtiz,Humphrey Bogart |  Claude Rains |  Conrad Veidt,387508,1123,242,PG,1.37,950000,,-950000,4,http://www.imdb.com/title/tt0034583/?ref_=fn_tt_tt_1,,,,          
Bambi,1942,English,USA,70,Color,Animation|Drama|Family,7.4,animal|bambi|deer|forest|hunter,James Algar,Sam Edwards |  Donnie Dunagan |  Ann Gillis,94225,136,116,Approved,1.33,,102797150,102797150,0,http://www.imdb.com/title/tt0034492/?ref_=fn_tt_tt_1,,,,          
A Guy Named Joe,1943,English,USA,122, Black and White,Drama|Fantasy|Romance|War,7,heaven|pilot|teacher|training|world war two,Victor Fleming,Spencer Tracy |  Esther Williams |  Irene Dunne,1553,27,9,Passed,1.37,2627000,,-2627000,0,http://www.imdb.com/title/tt0035959/?ref_=fn_tt_tt_1,,,,          
Bathing Beauty,1944,English,USA,101,Color,Comedy|Musical,6.5,college|teacher|theatrical producer|tutu|wedding,George Sidney,Esther Williams |  Basil Rathbone |  Red Skelton,1079,28,8,Passed,1.37,2361000,,-2361000,2,http://www.imdb.com/title/tt0036628/?ref_=fn_tt_tt_1,,,,          
State Fair,1945,English,USA,100,Color,Musical|Romance,7.1,fair|farm|iowa|newspaper|state fair,Walter Lang,Dana Andrews |  Jeanne Crain |  Frank McHugh,2756,55,17,Approved,1.37,,,0,2,http://www.imdb.com/title/tt0038116/?ref_=fn_tt_tt_1,,,,          
The Valley of Decision,1945,English,USA,119, Black and White,Drama,7.5,immigrant|maid|steel mill|strike|union,Tay Garnett,Jessica Tandy |  Greer Garson |  Lionel Barrymore,1314,29,7,Passed,1.37,2160000,,-2160000,0,http://www.imdb.com/title/tt0038213/?ref_=fn_tt_tt_1,,,,          
Spellbound,1945,English,USA,95,Color,Film-Noir|Mystery|Romance|Thriller,7.6,amnesia|dream analysis|dream sequence|guilt complex|post traumatic stress disorder,Alfred Hitchcock,Norman Lloyd |  Rhonda Fleming |  Leo G. Carroll,32927,161,97,Unrated,1.37,1696377,,-1696377,1,http://www.imdb.com/title/tt0038109/?ref_=fn_tt_tt_1,,,,          
The Lost Weekend,1945,English,USA,101, Black and White,Drama|Film-Noir,8,addiction|alcoholic|alcoholism|paranoia|suicidal thoughts,Billy Wilder,Ray Milland |  Jane Wyman |  Frank Faylen,24959,136,97,Not Rated,1.37,1250000,,-1250000,4,http://www.imdb.com/title/tt0037884/?ref_=fn_tt_tt_1,,,,          
Duel in the Sun,1946,English,USA,144,Color,Drama|Romance|Western,6.9,box office hit|half breed|infidelity|shooting|texas,King Vidor,Joseph Cotten |  Lillian Gish |  Jennifer Jones,6304,87,32,Unrated,1.37,8000000,20400000,12400000,0,http://www.imdb.com/title/tt0038499/?ref_=fn_tt_tt_1,,,,          
It's a Wonderful Life,1946,English,USA,118,Color,Drama|Family|Fantasy|Romance,8.6,angel|bank|guardian angel|second chance|small town life,Frank Capra,Donna Reed |  Lionel Barrymore |  Thomas Mitchell,275720,706,206,PG,1.37,3180000,,-3180000,0,http://www.imdb.com/title/tt0038650/?ref_=fn_tt_tt_1,,,,          
The Best Years of Our Lives,1946,English,USA,172, Black and White,Drama|Romance|War,8.1,love|pity|readjusting to civilian life|veteran|world war two veteran,William Wyler,Myrna Loy |  Teresa Wright |  Dana Andrews,40359,235,97,Not Rated,1.37,2100000,23650000,21550000,5,http://www.imdb.com/title/tt0036868/?ref_=fn_tt_tt_1,,,,          
Tycoon,1947,English,USA,95,Color,Adventure|Drama|Romance,6.2,engineer|ethics|mountain|railroad|south america,Richard Wallace,Judith Anderson |  Paul Fix |  Laraine Day,989,23,9,Approved,1.37,3209000,,-3209000,1,http://www.imdb.com/title/tt0039927/?ref_=fn_tt_tt_1,,,,          
Gentleman's Agreement,1947,English,USA,118, Black and White,Drama|Romance,7.4,bigotry|jewish|prejudice|racism|writer,Elia Kazan,Dean Stockwell |  Celeste Holm |  John Garfield,10791,113,61,Approved,1.37,2000000,,-2000000,3,http://www.imdb.com/title/tt0039416/?ref_=fn_tt_tt_1,,,,          
The Lady from Shanghai,1947,English,USA,92, Black and White,Crime|Drama|Film-Noir|Mystery|Thriller,7.7,law partner|murder|partner|seaman|yacht,Orson Welles,Rita Hayworth |  Everett Sloane |  Ted de Corsia,19236,175,90,Not Rated,1.37,2300000,7927,-2292073,1,http://www.imdb.com/title/tt0040525/?ref_=fn_tt_tt_1,,,,          
The Pirate,1948,English,USA,102,Color,Adventure|Comedy|Musical|Romance,7.1,hoop|horseback riding|love|pirate|singer,Vincente Minnelli,Gladys Cooper |  Reginald Owen |  Ellen Ross,3258,54,41,Approved,1.37,3700000,2956000,-744000,0,http://www.imdb.com/title/tt0040694/?ref_=fn_tt_tt_1,,,,          
Red River,1948,English,USA,126, Black and White,Action|Adventure|Romance|Western,7.8,cattle|cattle drive|cowboy|kansas|texas,Howard Hawks,Montgomery Clift |  Walter Brennan |  Harry Carey Jr.,21316,162,91,Approved,1.37,3000000,,-3000000,0,http://www.imdb.com/title/tt0040724/?ref_=fn_tt_tt_1,,,,          
Open Secret,1948,English,USA,68, Black and White,Crime|Drama,7.1,anti semitism|gangster,John Reinhardt,Sheldon Leonard |  John Ireland |  Arthur O'Connell,67,9,1,Approved,1.37,,,0,3,http://www.imdb.com/title/tt0040671/?ref_=fn_tt_tt_1,,,,          
She Wore a Yellow Ribbon,1949,English,USA,103,Color,Western,7.4,captain|cavalry|fort|retirement|yellow ribbon,John Ford,Harry Carey Jr. |  Ben Johnson |  Victor McLaglen,11920,90,55,Unrated,1.37,1600000,,-1600000,1,http://www.imdb.com/title/tt0041866/?ref_=fn_tt_tt_1,,,,          
Sands of Iwo Jima,1949,English,USA,109, Black and White,Action|Drama|Romance|War,7.2,battle|combat|heroic military|sergeant|tarawa,Allan Dwan,James Brown |  Richard Jaeckel |  Forrest Tucker,7346,69,40,Approved,1.37,1000000,,-1000000,0,http://www.imdb.com/title/tt0041841/?ref_=fn_tt_tt_1,,,,          
Annie Get Your Gun,1950,English,USA,107,Color,Biography|Comedy|Musical|Romance|Western,7,girl|gun|love|sharpshooter|the end,George Sidney,Keenan Wynn |  Howard Keel |  Betty Hutton,3167,90,21,Passed,1.37,3768785,8000000,4231215,0,http://www.imdb.com/title/tt0042200/?ref_=fn_tt_tt_1,,,,          
Quo Vadis,1951,English,USA,171,Color,Biography|Drama|History|Romance,7.2,christian|emperor|general|hostage|nero,Mervyn LeRoy,Peter Ustinov |  Deborah Kerr |  Robert Taylor,9808,90,54,Passed,1.37,7623000,,-7623000,0,http://www.imdb.com/title/tt0043949/?ref_=fn_tt_tt_1,,,,          
Show Boat,1951,English,USA,108,Color,Drama|Family|Musical|Romance,7,gambling|interracial marriage|love|miscegenation|showboat,George Sidney,Agnes Moorehead |  Ava Gardner |  Howard Keel,3538,46,14,Approved,1.33,2295429,,-2295429,3,http://www.imdb.com/title/tt0044030/?ref_=fn_tt_tt_1,,,,          
A Streetcar Named Desire,1951,English,USA,125, Black and White,Drama,8,brother in law sister in law relationship|expectant father|histrionic personality disorder|middle aged woman|off screen rape,Elia Kazan,Marlon Brando |  Karl Malden |  Kim Hunter,78454,233,94,PG,1.37,1800000,,-1800000,0,http://www.imdb.com/title/tt0044081/?ref_=fn_tt_tt_1,,,,          
The Greatest Show on Earth,1952,English,USA,152,Color,Drama|Family|Romance,6.7,circus|clown|elephant trainer|trapeze|trapeze artist,Cecil B. DeMille,Gloria Grahame |  Dorothy Lamour |  Cornel Wilde,9456,107,44,Not Rated,1.37,4000000,36000000,32000000,0,http://www.imdb.com/title/tt0044672/?ref_=fn_tt_tt_1,,,,          
Singin' in the Rain,1952,English,USA,103,Color,Comedy|Musical|Romance,8.3,actress|chorus girl|fan|friend|love,Stanley Donen,Rita Moreno |  Debbie Reynolds |  Cyd Charisse,150020,568,169,Approved,1.37,2540800,,-2540800,0,http://www.imdb.com/title/tt0045152/?ref_=fn_tt_tt_1,,,,          
Deadline - U.S.A.,1952,English,USA,87, Black and White,Crime|Drama|Film-Noir,7.2,editor|gangster|newspaper|organized crime|press,Richard Brooks,Humphrey Bogart |  Jim Backus |  Kim Hunter,1756,28,27,,1.37,,,0,0,http://www.imdb.com/title/tt0044533/?ref_=fn_tt_tt_1,,,,          
High Noon,1952,English,USA,85, Black and White,Thriller|Western,8.1,appeasement|frontier justice|justice|one against many|street shootout,Fred Zinnemann,Gary Cooper |  Lloyd Bridges |  Lon Chaney Jr.,80193,333,153,PG,1.37,750000,,-750000,0,http://www.imdb.com/title/tt0044706/?ref_=fn_tt_tt_1,,,,          
The Robe,1953,English,USA,135,Color,Drama|History,6.8,box office hit|crucifixion|nightmare|palestine|robe,Henry Koster,Richard Burton |  Jean Simmons |  Victor Mature,6359,69,42,Unrated,2.2,5000000,36000000,31000000,1,http://www.imdb.com/title/tt0046247/?ref_=fn_tt_tt_1,,,,          
From Here to Eternity,1953,English,USA,118, Black and White,Drama|Romance|War,7.8,boxing|captain|hawaii|love|sergeant,Fred Zinnemann,Montgomery Clift |  Donna Reed |  Deborah Kerr,33987,150,101,Not Rated,1.37,1650000,,-1650000,5,http://www.imdb.com/title/tt0045793/?ref_=fn_tt_tt_1,,,,          
Niagara,1953,English,USA,92,Color,Crime|Film-Noir|Thriller,7.1,hitchcockian|husband murders wife|murder|niagara falls|overhead shot,Henry Hathaway,Joseph Cotten |  Jean Peters |  Will Wright,11047,116,74,Approved,1.37,1250000,,-1250000,0,http://www.imdb.com/title/tt0046126/?ref_=fn_tt_tt_1,,,,          
"The Beast from 20,000 Fathoms",1953,English,USA,80, Black and White,Adventure|Horror|Sci-Fi,6.7,arctic|beast|dinosaur|monster|rhedosaurus,Eugène Lourié,Kenneth Tobey |  Cecil Kellaway |  Ross Elliott,4812,88,67,Approved,1.37,210000,5000000,4790000,0,http://www.imdb.com/title/tt0045546/?ref_=fn_tt_tt_1,,,,          
"20,000 Leagues Under the Sea",1954,English,USA,127,Color,Adventure|Drama|Family|Fantasy|Sci-Fi,7.2,captain|expedition|sea|submarine|whale,Richard Fleischer,James Mason |  Robert J. Wilke |  Paul Lukas,22123,108,69,Approved,1.37,5000000,,-5000000,0,http://www.imdb.com/title/tt0046672/?ref_=fn_tt_tt_1,,,,          
The Egyptian,1954,English,USA,139,Color,Drama|History,6.6,afterlife|egypt|pharaoh|princess|pyramid,Michael Curtiz,Gene Tierney |  Peter Ustinov |  Jean Simmons,2498,67,15,Approved,2.55,5000000,,-5000000,0,http://www.imdb.com/title/tt0046949/?ref_=fn_tt_tt_1,,,,          
On the Waterfront,1954,English,USA,108, Black and White,Crime|Drama|Romance,8.2,death|dock|longshoreman|murder|union,Elia Kazan,Marlon Brando |  Karl Malden |  Rod Steiger,100890,281,134,Not Rated,1.85,910000,9600000,8690000,2,http://www.imdb.com/title/tt0047296/?ref_=fn_tt_tt_1,,,,          
Seven Samurai,1954,Japanese,Japan,202, Black and White,Action|Adventure|Drama,8.7,16th century|battle|japan|practice|samurai,Akira Kurosawa,Takashi Shimura |  Minoru Chiaki |  Kamatari Fujiwara,229012,596,153,Unrated,1.37,2000000,269061,-1730939,6,http://www.imdb.com/title/tt0047478/?ref_=fn_tt_tt_1,,,,          
"20,000 Leagues Under the Sea",1954,English,USA,127,Color,Adventure|Drama|Family|Fantasy|Sci-Fi,7.2,captain|expedition|sea|submarine|whale,Richard Fleischer,James Mason |  Robert J. Wilke |  Paul Lukas,22124,108,69,Approved,1.37,5000000,,-5000000,0,http://www.imdb.com/title/tt0046672/?ref_=fn_tt_tt_1,,,,          
The Trouble with Harry,1955,English,USA,99,Color,Comedy|Mystery|Romance,7.2,artist|death|hunting|sheriff|vermont,Alfred Hitchcock,Jerry Mathers |  John Forsythe |  Royal Dano,24891,150,73,Approved,1.5,1200000,,-1200000,0,http://www.imdb.com/title/tt0048750/?ref_=fn_tt_tt_1,,,,          
Ordet,1955,Danish,Denmark,126, Black and White,Drama|Fantasy,8.1,august|doctor|faith|patriarch|prayer,Carl Theodor Dreyer,Hanne Aagesen |  Sylvia Eckhausen |  Ejner Federspiel,9903,49,54,Not Rated,1.37,,,0,0,http://www.imdb.com/title/tt0048452/?ref_=fn_tt_tt_1,,,,          
Moby Dick,1956,English,USA,115,Color,Adventure|Drama,7.4,obsession|revenge|ship|whale|whaling,John Huston,Royal Dano |  Richard Basehart |  James Robertson Justice,13474,115,42,Unrated,1.66,4500000,,-4500000,0,http://www.imdb.com/title/tt0049513/?ref_=fn_tt_tt_1,,,,          
Trapeze,1956,English,USA,105,Color,Drama|Romance,6.8,acrobat|circus|cripple|trapeze|trapeze artist,Carol Reed,Gina Lollobrigida |  Katy Jurado |  Sidney James,3102,35,20,Approved,2.35,4000000,,-4000000,0,http://www.imdb.com/title/tt0049875/?ref_=fn_tt_tt_1,,,,          
Love Me Tender,1956,English,USA,89, Black and White,Drama|Romance|Western,6.2,army|civil war|robbery|soldier|train,Robert D. Webb,James Drury |  Neville Brand |  Debra Paget,2636,36,39,,2.35,1000000,,-1000000,1,http://www.imdb.com/title/tt0049452/?ref_=fn_tt_tt_1,,,,          
The Bridge on the River Kwai,1957,English,UK,161,Color,Adventure|Drama|War,8.2,allies|bridge|construction|jungle|sabotage,David Lean,William Holden |  Sessue Hayakawa |  Jack Hawkins,149444,273,122,PG,2.35,3000000,27200000,24200000,2,http://www.imdb.com/title/tt0050212/?ref_=fn_tt_tt_1,,,,          
12 Angry Men,1957,English,USA,96, Black and White,Crime|Drama,8.9,courtroom|dialogue driven|dialogue driven storyline|jury|murder,Sidney Lumet,Jack Warden |  Lee J. Cobb |  John Fiedler,447785,888,177,Not Rated,1.66,350000,,-350000,1,http://www.imdb.com/title/tt0050083/?ref_=fn_tt_tt_1,,,,          
Cat on a Hot Tin Roof,1958,English,USA,108,Color,Drama|Romance,8.1,cancer|football|homosexuality|marriage|mississippi,Richard Brooks,Burl Ives |  Judith Anderson |  Jack Carson,33741,141,70,Approved,1.85,3000000,,-3000000,0,http://www.imdb.com/title/tt0051459/?ref_=fn_tt_tt_1,,,,          
Solomon and Sheba,1959,English,USA,141,Color,Drama|History|Romance|War,6.2,king|pharaoh|queen|queen of sheba|tribe,King Vidor,Gina Lollobrigida |  George Sanders |  Finlay Currie,2017,33,14,,2.2,5000000,,-5000000,2,http://www.imdb.com/title/tt0053290/?ref_=fn_tt_tt_1,,,,          
The Nun's Story,1959,English,USA,149,Color,Drama,7.6,belgium|congo|convent|nun|nurse,Fred Zinnemann,Colleen Dewhurst |  Peter Finch |  Beatrice Straight,7071,83,25,Not Rated,1.78,3500000,,-3500000,0,http://www.imdb.com/title/tt0053131/?ref_=fn_tt_tt_1,,,,          
Some Like It Hot,1959,English,USA,120, Black and White,Comedy|Music|Romance,8.3,all girl band|band|cross dressing|musician|yacht,Billy Wilder,Nehemiah Persoff |  Joe E. Brown |  George Raft,175196,350,181,Not Rated,1.66,2883848,25000000,22116152,2,http://www.imdb.com/title/tt0053291/?ref_=fn_tt_tt_1,,,,          
Psycho,1960,English,USA,108, Black and White,Horror|Mystery|Thriller,8.5,money|motel|rain|shower|theft,Alfred Hitchcock,Janet Leigh |  Vera Miles |  John Gavin,422432,1040,290,R,1.85,806947,32000000,31193053,2,http://www.imdb.com/title/tt0054215/?ref_=fn_tt_tt_1,,,,          
The Apartment,1960,English,USA,125, Black and White,Comedy|Drama|Romance,8.3,apartment|elevator|elevator girl|love|mistress,Billy Wilder,Fred MacMurray |  Ray Walston |  David White,109335,241,183,Approved,2.35,3000000,,-3000000,2,http://www.imdb.com/title/tt0053604/?ref_=fn_tt_tt_1,,,,          
Elmer Gantry,1960,English,USA,146,Color,Drama,7.9,1920s|evangelist|preacher|revival|traveling salesman,Richard Brooks,Shirley Jones |  Jean Simmons |  Edward Andrews,7998,81,42,Approved,1.66,3000000,,-3000000,1,http://www.imdb.com/title/tt0053793/?ref_=fn_tt_tt_1,,,,          
West Side Story,1961,English,USA,152,Color,Crime|Drama|Musical|Romance|Thriller,7.6,dance|gang|new york city|puerto rican|tragedy,Jerome Robbins,Rita Moreno |  George Chakiris |  Richard Beymer,71919,316,120,Unrated,2.2,6000000,43650000,37650000,0,http://www.imdb.com/title/tt0055614/?ref_=fn_tt_tt_1,,,,          
The Misfits,1961,English,USA,120, Black and White,Drama|Romance|Western,7.4,cowboy|divorce|horse|sexy|wild horse,John Huston,Montgomery Clift |  Kevin McCarthy |  Thelma Ritter,12981,121,70,Approved,1.66,4000000,,-4000000,2,http://www.imdb.com/title/tt0055184/?ref_=fn_tt_tt_1,,,,          
Judgment at Nuremberg,1961,English,USA,186, Black and White,Drama|War,8.3,judge|law|nazi|nuremberg|war crime,Stanley Kramer,Maximilian Schell |  Montgomery Clift |  Spencer Tracy,44457,176,73,Not Rated,1.75,3000000,,-3000000,0,http://www.imdb.com/title/tt0055031/?ref_=fn_tt_tt_1,,,,          
Pocketful of Miracles,1961,English,USA,136,Color,Comedy|Drama,7.3,1930s|apple|dude|luck|new york city,Frank Capra,Ann-Margret |  Glenn Ford |  Thomas Mitchell,4313,40,21,Approved,2.35,2900000,,-2900000,2,http://www.imdb.com/title/tt0055312/?ref_=fn_tt_tt_1,,,,          
The Hustler,1961,English,USA,134, Black and White,Drama|Sport,8,drink|manager|money|partner|pool hall,Robert Rossen,George C. Scott |  Jackie Gleason |  Murray Hamilton,62860,167,100,Unrated,2.35,2000000,,-2000000,1,http://www.imdb.com/title/tt0054997/?ref_=fn_tt_tt_1,,,,          
Lolita,1962,English,UK,152, Black and White,Crime|Drama|Romance,7.7,lolita|nymphet|older man young girl relationship|professor|writer,Stanley Kubrick,James Mason |  Shelley Winters |  Lois Maxwell,67822,207,103,Not Rated,1.66,2000000,,-2000000,0,http://www.imdb.com/title/tt0056193/?ref_=fn_tt_tt_1,,,,          
Lawrence of Arabia,1962,English,UK,227,Color,Adventure|Biography|Drama|History|War,8.4,arab|british military|desert|ottoman empire|t.e. lawrence,David Lean,Claude Rains |  José Ferrer |  Jack Hawkins,192775,559,181,PG,2.2,15000000,6000000,-9000000,8,http://www.imdb.com/title/tt0056172/?ref_=fn_tt_tt_1,,,,          
The Longest Day,1962,English,USA,178, Black and White,Action|Drama|History|War,7.8,allies|d day|invasion|normandy|world war two,Ken Annakin,Richard Burton |  Richard Beymer |  Eddie Albert,43270,192,53,G,2.35,10000000,,-10000000,3,http://www.imdb.com/title/tt0056197/?ref_=fn_tt_tt_1,,,,          
