plot_keywords
detective|mississippi|police|police detective|small town
nurse|parent|sibling|widow|widower
ancient astronaut|famous line|message from outer space|monolith|star child
abuse|child|orphan|orphanage|pickpocket
41st century|angel|future|laser gun|space opera
gang|gun|harmonica|killing|woman in bathtub
cemetery|farmhouse|radiation|running out of gas|zombie
devil worship|incubus|paranoia|raped by a demon|satanism
imperative in title|judge|marshal|murder|vigilante
bare chested male bondage|european|female frontal nudity|topless woman|war paint
disability|experiment|genius|intelligence|mouse
cemetery|farmhouse|radiation|running out of gas|zombie
california|farmer|gold|mining|prospector
charity|dancer|foreign language adaptation|hope|taxi dancer
casino|gang violence|robbery|suicide|violence
bond girl|british|mission|portugal|switzerland
bolivia|gang|outlaw|posse|train
friendship|honor|righteous rage|soldier|texas
1960s|agent|cuba|intelligence|spy
gay|homosexual|homosexuality|hustler|male rear nudity
antibes|hotel|island|reunion|reunion island
female frontal nudity|female nudity|lesbian sex|lesbianism|sex
attack|hawaii|navy|pearl harbor|u.s. navy
battle|costume drama|final battle|napoleon|napoleon bonaparte
crepe suzette|french|mata hari spoof|song|spy
catch 22|friend|insanity|kneed in the groin|military
allies|dead soldier|destiny|general|tank
coal|detective|irish|irish immigrant|pennsylvania
desert|partner|prostitute|stagecoach|water
ape|astronaut|mission|planet|rescue
black cop|chase|cotton|four word title|new york city
band|drugs|friendship|hollywood|satire
fascist|gun|italy|nudity|sexuality
drugs|hippie|music festival|the who|woodstock
crime boss|drug smuggling|heroin|mafia boss|organized crime
immigration|jewish|pogrom|tradition|tradition versus modernity
cat|diamond|ford mustang|james bond 007|yanked off bikini top
alien|baby|new mexico|satellite|scientist
candy|chocolate|factory|miniaturization|sudden change in size
ape|fear|future|spacecraft|spaceship
crime boss|drug smuggling|heroin|mafia boss|organized crime
fictitious country|latin america|president|rebellion|reference to fidel castro
black panther|hells angels|on the run|racist|racist cop
escape|independent film|mental illness|prison|revenge
male frontal nudity|male pubic hair|male rear nudity|pubic hair|street hustler
hallucination|ocean|psychologist|scientist|space station
crime family|mafia|organized crime|patriarch|rise to power
continental congress|debate|declaration of independence|massachusetts|pennsylvania
penknife|police|rape|serial killer|united kingdom
aphrodisiac|court jester|jester|queen|written and directed by cast member
ape|future|intelligence|revolution|slave revolt
forest|greenhouse|plant|robot|space
dying|love|mansion|selfishness|turn of the century
absurd humor|egg|gross out humor|lesbian|sex
colonel|doctor|korean war|major|nurse
city name in series title|homicide|older man younger man relationship|place in series title|police partner
bar|catholic guilt|epilepsy|italian american|money
demonic possession|exorcism|exorcist|loss of innocence|priest
british|cards|heroin|murder|tarot card
con|con man|courier|long con|murder
gravestone|gunfighter|outlaw|revenge|small town
bare breasts|flogging|human branding|man slaps a woman|manhunt
frozen|future|health food|leader|police
ape|general|gorilla|outer space|planet of the apes
california|car|drag racing|high school|rock 'n' roll
1950s|corrupt politician|lake tahoe nevada|melancholy|revenge
cannibal|chainsaw|hitchhiker|independent film|leatherface
assassin|bikini|girl in a bikini|mission|secret agent
1920s|communist|escape from jail|newspaper|reporter
assistant|castle|experiment|frankenstein's monster|scientist
railroad|reference to douglas fairbanks|reference to jesse owens|reference to randolph scott|year 1874
corruption|neo noir|recording|saxophone|surveillance
animal abuse|cat|dog|dog movie|tween girl
cannibal|chainsaw|hitchhiker|independent film|leatherface
opening party colossal|poorly constructed|office building|massive fire breaks
beach|blockbuster|fishing|great white shark|shark
18th century|england|rise and fall|rural setting|wealth
clouseau|diamond|panther|pink|pink panther
1960s|escape|mental institution|nurse|sexuality
camelot|holy grail|king arthur|knight|lancelot
cult director|cult film|drive in classic|psychotronic|race
baseball|california|coach|little league|swimming pool
ambassador|death|hospital|priest|stillborn child
cat|computer|cult film|runner|sanctuary
crusades|friar|robin hood|sheriff|sheriff of nottingham
black comedy|friend|modern silent movie|silent movie|two word title
media|monologue|television|television network|television news
actor|diamond|heir|kidnapping|ransom
ambassador|death|hospital|priest|stillborn child
boxer|hometown hero|philadelphia pennsylvania|protective male|training
loner|neo noir|night shift|taxi driver|vigilante
airborne troops|allies|operation market garden|panzer|paratrooper
fire|jungle|money|oil drilling|truck
alien|close encounter of the third kind|mothership|ufo|vision
cockroach|desert|ghost town|giant spider|travel
1970s|cult film|official james bond series|submarine|world war three
demon|exorcism|locust|priest|repressed memory
love|musician|saxophonist|singer|songwriter
death star|empire|galactic war|princess|rebellion
arab|bare chested male|foreign legion|french foreign legion|morocco
1930s|female protagonist|nazi|romantic friendship|writer
astronaut|hoax|journalist|mission|nasa
breaking the fourth wall|comedian|jewish|neurosis|singer
belldon's hysteria|high anxiety|hitchcockian|murder|parody
fake commercial|fake newscast|fake trailer|parody|spoof
death|farm|hotel|spider|tarantula
apartment|baby|deformed baby|factory|surrealism
1970s|clark kent|planet|superhero|year 1978
melancholy|new york city|sadness|teacher|wizard
great white shark|island|mayor|police chief|shark
halloween|masked killer|michael myers|slasher|trick or treat
halloween|masked killer|michael myers|slasher|trick or treat
escape|friend|party|pittsburgh steelers|vietnam
afghanistan|caravan|rebel|russian|tribe
1970s|jew|nazi|nazi hunter|paraguay
1930s|driving through a gate|funeral|senator|trade union
affair|child murderer|mortician|strangulation|supernatural power
automobile racing|boyfriend girlfriend relationship|high school|wrestling|year 1959
colonel|mission|partisan|spy|traitor
academic probation|camera shot of feet|fraternity|school expulsion|smashing a guitar
farm|farm worker|grasshopper|harvest|wealth
halloween|masked killer|michael myers|slasher|trick or treat
band|final concert|guitar|interview|thanksgiving
arrest|mysterious vessel|search|top secret information
dancer|editing|stand up comedian|surgery|vomiting
alien|space|space station|spacecraft|warp speed
california|captain|cult film|pearl harbor|submarine
army|green beret|insanity|jungle|vietnam
astronaut|dog|official james bond series|space shuttle|space shuttle transported on a 747
black hole|escape|palomino|robot|scientist
asteroid|meteor|nasa|nuclear weapon|satellite
cabin|monster|monster movie|paper mill|pollution
alien|creature|future|outer space|spaceship
awol|demand|driver|drugs|roses
friend|frog leg|on the road|restaurant|the muppets
alcatraz|escape|inmate|island|prison
bank|gold|key|safe|train
black horse|boy horse relationship|horse|rescued by a horse|training
biker|motorcycle|motorcycle gang|post apocalypse|woman wearing only a man's shirt
blaxploitation|boxing|convict|drifter|false accusation
alien invasion|based on comic book|flying superhero|phantom zone|revenge
1890s|hired gun|immigrant|johnson county war|sheriff
military|mineral|ocean|ship|titanic
american football|cult film|emperor|flash gordon|mind reading
arab|general|libya|muslim|mussolini
band|catholic|money|parolee|prison
duel|famous twist|rebel|rescue|snowy landscape
male frontal nudity|male full frontal nudity|male nudity|male rear nudity|new york city
breaking down a door|haunted hotel|identical twins|labyrinth|twin sisters
california|fog|leper|lighthouse|ship
boxing|domestic violence|hot temper|jealousy|rage
camera shot of feet|female stockinged feet|loss of husband|pantyhose|suntan pantyhose
country music|kissing while having sex|poverty|singer|title based on song
bank|breasts|famous score|last man standing|revenge
apartment|elevator|murder|psychiatrist|sunglasses
choir|death|friend|suicide|therapy
caddy|country club|golf course|gopher|nudity
alien|android|fem bot|female android|stars
hotel|love|love across time|time travel|time travel romance
curiosity|exploitation|freak|hospital|physical deformity
explosion|hitchhiking|punk|trauma|truck driver
coming of age|island|poison|teenage boy|teenage girl
air traffic controller|airplane|airport|pilot|spoof
california|fog|leper|lighthouse|ship
1950s|douglas macarthur|general|inchon|invasion
cold war|cold war era|interview|russia|written and directed by cast member
agent|british|ice skater|ship|spy
archeological dig|archeologist|ark of the covenant|egypt|nazi
assassin|hotel|japanese tourist|secret service|wizard of oz
ambush|hero|masked hero|outlaw|texas ranger
conspiracy|political conspiracy|recording|sound|truth
apprentice|dragon|king|kingdom|wizard
chase|dead man|jungle|killing a lion|killing a tiger
fire|prehistoric times|primitive|tribe|trio
cult director|dwarf|robin hood|satire|treasure
adultery|drifter|lunch wagon|murder|neo noir
duty|submarine|submarine movie|tension|u boat
escape|jumping from an airplane|money|parachute|ransom
french revolution|old testament|part of an unfinished series|reference to john wayne|roman emperor
army|boot camp|breasts|graduation|rescue
escape|fish out of water|love|robot|servant
bat|curse|egyptologist|mummy|murder
anthology|girl|heavy metal|secretary|segments
air traffic controller|nuclear waste|orgasm|telekinesis|voodoo
directed by star|friendship|reference to isaac newton|skinny dipping|written and directed by cast member
1990s|police|prison|rescue|year 1997
athlete|jew|missionary|olympic games|race
abusive mother|adopted daughter|borderline personality disorder|perfection|sadistic cruelty
bomb|new york city|partner|shooting|terrorist
female full frontal nudity|revenge|school|sheriff|virginity
australian|gasoline|post apocalypse|refinery|warrior
ice pick|jason voorhees|lake|pitchfork|shack
1980s|forest|lycanthrope|shapeshifting|werewolf transformation
french revolution|old testament|part of an unfinished series|reference to john wayne|roman emperor
doctor|hell|hotel|painter|plumber
cult director|cult film|evil dead|necronomicon|psychotronic film
coach|mask|school principal|team|track
based on children's book|best friend|character name in title|friend|one word title
actual animal killed|cult|evil sorcerer|gladiator|warlord
anthology|child abuse|critically acclaimed|death|grindhouse
1980s|colonel|deputy|rambo|sheriff
alien creature|alien life form|antarctica|isolation|paranoia
ghost|haunted|haunting|house|paranormal investigator
artificial intelligence|human android relationship|megacorporation|police detective|tech noir
british|india|indian|muslim|pakistan
fighter plane|jet fighter|refueling|russia|soviet union
chicken|governor|locker room|sheriff|texas
actual animal killed|cult|evil sorcerer|gladiator|warlord
dictator|electronic music score|one word title|secret headquarters|soldier
archdiocese|court|hospital|lawyer|malpractice
actor|actress|friend|love|reputation
1980s|colonel|deputy|rambo|sheriff
cat|cat people|leopard|love|slip the undergarment
jamming communications|planet|space station|taunt|trap
ghost|haunted|haunting|house|paranormal investigator
bicyclist|boy|doll|star wars reference|voice impersonation
anthology|child abuse|critically acclaimed|death|grindhouse
australia|brumby|ranch|stallion|twin
baltimore colts|diner|marriage|salesman|wedding
breasts|critically acclaimed|female frontal nudity|psychotronic film|sword and sorcery
breasts growing|coors light|drugs|hospital|spinning in grave
break up|california|high school|surfer|teacher
back to school|city|high school|sadism|teacher
doctor|factory|halloween|holiday horror|stonehenge
defecation|hockey mask|jason voorhees|lake|serial killer
murdering|farmer fled|large posse|captured
breasts|female frontal nudity|female rear nudity|incest|voyeur
cat|cat people|leopard|love|slip the undergarment
bombing attack|border guard|unravel mystery
computer|high school|kryptonite|smallville|villain
british|character says now that you're on the case i hope we're going to have some gratuitous sex and violence|cruise missile|missile|nuclear warhead
cyclops|fortress|monster|planet|rescue
death star|emperor|empire|princess|rebel
agent|egg|faberge egg|general|russian
astronaut|sound barrier|space program|u.s. air force|u.s. space program
assassination attempt|capitalism|cocaine|cuban american|cuban refugee
amusement park|dog|family vacation|national lampoon series|vacation
computer|game|high school|norad|teenager
love|study|talmud|wedding|yeshiva
1940s|1960s|bar|kick the can|remake
dysfunctional family|gang|greaser|holding someone's head underwater|rivalry
car accident|coma|evil politician|psychic|vision
interracial relationship|poverty|prostitute|scam|stock market
female nudity|highwayman|nell gwynne|nudity|whipping
ballet school|dance|dancer|overalls|steel worker
apostrophe in title|bare breasts|friendship between men|teen sex comedy|two word title
cyberpunk|hallucination|illegality|snuff film|surrealism
drugs|martial arts|texas|texas ranger|weapon
bb gun|boy|bully|christmas|tongue stuck on a pole
1980s|affair|female protagonist|radio|woman wearing only a man's shirt
based on novel|brazil|female underarm hair|sex in a window|star appears nude
psychic|psychic power|psychometry|spin off|supernatural power
guerrilla|high school|invasion|soviet|wolverine
brothers hugging|jazz|jealousy|nudity|parole violation
desert planet|dune|giant worm|space travel|spice
apartment|bully|fight|karate|master
freddy krueger|lucid dream|serial killer|slasher|sleep deprivation
1920s|ambiguity|childhood friend|new york|speakeasy
children|studio logo segues into film|temple|village|white dinner jacket
doctor|english|india|magistrate|mosque
book|dragon|story within the story|talking animal|werewolf
chimpanzee|elephant|jungle|mercenary|shaman
church|cowboy boots|dancing|high school dance|teenager
lieutenant|lifeboat|mutiny|sailing ship|ship
dying planet|planet|regaining one's memory|sacrifice|stabbed to death
1800s|classical composer|composer|first person narration|opera
gods|princess|queen|rescue|wizard
drug dealer|drugs|murder|police brutality|police shootout
captain|experiment|fire|psychic|secret government agency
bright light|midnight|pet|small town|water
actor|neighbor|police|thief|tunnel
bar fight|cult film|ice|psychotronic|sword fight
church|cowboy boots|dancing|high school dance|teenager
apartment|bully|fight|karate|master
cmnf|cmnf scene|mermaid|new york city|public nudity
football|hotel|teenage girl|terrorist|wien
cyborg|future war|robot|shootout in a police station|urban setting
misfit|police|police academy|police cadet|police officer
friday the thirteenth|hockey mask|jason voorhees|morgue|slasher
freddy krueger|lucid dream|serial killer|slasher|sleep deprivation
punk|punk rocker|repossession|televangelist|ufo
bum|city|mutant|new york city|street
boy|health club|superhero|toxic waste|troma
cult tv|detective|drugs|police|undercover
1980s|mission|prison|rambo|vietnam
africa|hunter|love|marriage|plantation
computer|earthquake|microchip|official james bond series|silicon valley
chicken|delusional depression|doctor|king|mysterious girl
1880s|kiss|small town|table broken in fight|wild west
alien|halleys comet|life force|space vampire|vampire
bishop|escape|hawk|lady|thief
clock tower|delorean|future|time travel|time travel comedy
cult|death|delusion|girl|sherlock holmes
bunker|experiment|military|research|scientist
cult film|psychotronic|sword and sorcery|talisman|warrior
book strap|girl|racial discrimination|racial tension|stereotype
black comedy|bureaucracy|dream|terrorist|wrongful arrest
amish|love|murder|police|train
arena|desert|fight|mad max|post apocalypse
body count|dictator|jumping from an airplane|knife fight|one man army
cult film|kung fu|kung fu classic|martial arts|title spoken by character
army|nightmare|one man army|rescue|spy
gold|miner|preacher|prospector|sheriff
crematorium|female frontal nudity|naked dead woman|paramedic|poison gas
crematorium|female frontal nudity|naked dead woman|paramedic|poison gas
bunker|experiment|military|research|scientist
freddy krueger|gay|gay subtext|homoeroticism|jock strap
male nudity|male pubic hair|nude bathing|piano|pubic hair
actress shares first name with character|bar|car wash|city|d.j.
jason voorhees|murder|new jersey|nightmare|teenager
band|blackmail|safe|subway|train
canuxploitation|independent film|post apocalypse|remake|survival
england|mistress|pakistani|politics|thatcher
girl|heroine|kindred spirit|orphan|rural setting
judicial|judiciary|lawyer|murder|painting
eclipse|florist|nerd|plant|shop
alien|duck|laser|planet|singer
1980s|airport|cb radio|truck|truck driver
alien probe|humpback whales|probe|time travel|whale
alternate history|alternate timeline|divorce|high school|reunion
blindfolded woman|control|male dominance|sex game|sex in public
arizona|death|gang|police|sheriff
alien|human versus alien|monster|rescue mission|space marine
china|missionary|opium|villain|year 1937
combat|head cut off|immortal|scotland|swordsman
flying|gay subtext|machismo|male objectification|pilot
cave bear|cro magnon|neanderthal|survival|tradition
boy|child|chosen one|demon|detective
alien|boy|nurse|school|school nurse
hustler|losing|pool|pool player|tournament
australian outback|crocodile|female reporter|journalist|new york city
friendship|summertime|treehouse|walking on train tracks|woods
1960s|famous score|hero|vietnam|vietnam war
april fool's day|island|mansion|psycho|secret
chainsaw|chainsaw murder|human monster|music score composed by director|obscene finger gesture
1980s|el salvador|political thriller|reagan administration|war journalism
actual animal killed|death|jason voorhees|slasher flick|teen horror
evil spirit|hatchet|ouija|ouija board|psychopathic killer
death|friend|high school|murder|police
female nudity|male model|nudity|rite of passage|sex
british agent|defection|escape|kgb|soviet general
cia|emir|hotel|map|morocco
game of death|government conspiracy|latina|oppression|police
activist|editor|journalist|newspaper|south africa
corrupt judge|tax evasion|tough cop|white suit|year 1930
abdication|china|emperor|forbidden city|republic
banana boat|boat|christmas|sea|shark
parody|planet enclosed within shield|sci fi spoof|self referential|winnebago
detective|police|police chief|robbery|tall woman
box office hit|commando|death of friend|jungle|severed arm
box office flop|dc comics|hair|nuclear disarmament|superman
1980s|argument|critique of capitalism|f word|fired from the job
beach|cigarette girl|radio|woman holding a baby|working class
1980s|baby|heroin|package|questioned by police
fairy tale|giant|pirate|princess|true love
borderline personality disorder|killing a pet|madame butterfly|new york|new york city
disc jockey|friendship|radio|vietnam|vietnamese
assassin|box office flop|cia|farmer|power
1980s|california|death|small town|vampire
crash|hispanic|interracial relationship|interracial romance|racism
dream|freddy krueger|killer|nightmare|springwood ohio
bare breasts|comic relief|dragon|gladiator|harem
electric chair|haunting|prison|prisoner|revenge
anthology|hit and run|hit by a car|living statue|melting woman
cabin|cabin in the woods|demon|evil dead|woods
falling in love|glowing eyes|insult|teenager|three word title
homosexuality|love|male full frontal nudity|male rear nudity|one word title
journey|obsolescence|radio|toaster|vacuum cleaner
bathtub|cult film|neck breaking|tennessee|wraparound story
blood|cenobites|creature|demon|male full frontal nudity
blood splatter|island|motorboat|ninja|sequel to cult film
actor|african american|dream|two word title|written and directed by cast member
afghanistan|colonel|rambo|rescue|soviet
christmas|compassion|executive|ghost|redemption
accountant|bounty hunter|fbi|mafia|mob
christmas|christmas eve|christmas party|held at gunpoint|hostage
buick|convertible|last will and testament|savant|travel
estranged wife|fashion show|magazine|new york city|writer
catholic|corruption|emotional abuse|france|seduction
friend|job|new york city|toy|wish
alien|earth|female alien|mission|secret
bare chested male|brother|catholic orphanage|long lost siblings|twins
attic|ghost|surrealism|teenage girl|yuppie
australia|australian|crime boss|crocodile|gangster
catholic|corruption|emotional abuse|france|seduction
demon|dream|elm street|freddy krueger|nightmare
army|cattle|deputy|new mexico|rancher
brontosaurus|classical music|dinosaur|dinosaur feature|earthquake
aunt niece relationship|brother sister relationship|building|father daughter relationship|mirror
birthday|doll|murder|serial killer|voodoo
based on manga|biker gang|gifted child|post thermonuclear war|science runs amok
murder|power|psychotronic|tough cop|union
carpenter|exorcism|faith|reference to jesus christ|temptation
beauty salon|black college|college|fraternity|sorority
commitment|marriage|pizza|title appears in writing|woman wearing only a man's shirt
halloween|michael myers|murder|niece|october
1960s|boy|ghost|murder|small town
alien|brainwashing|construction worker|sunglasses|teleportation
listener|neo nazi|radio|radio station|radio talk show
cemetery|female nudity|mortuary|sphere|tall man
19th century|based on novel|disfigurement|harpooner|independent film
death|jason voorhees|massacre|slaughter|telekinesis
hand to hand combat|hong kong|kumite|martial arts|tournament
meaning of life|moral challenge|morality|search for meaning|ten commandments
meaning of life|moral challenge|morality|search for meaning|ten commandments
beverly hills california|family relationships|los angeles california|soap opera
alien|estranged couple|ocean|submarine|underwater
1980s|80s action|escape|plea bargain|prison
castle|diary|holy grail|map|nazi
drug cartel|drug lord|james bond 007|personal vendetta|vengeance
alternate timeline|same actor playing two characters simultaneously on screen|second part|year 2015|younger version of character
city|dc comics|gotham|pantyhose|police
captain|half brother|klingon|planet|vulcan
counterfeit|detective|japan|police chase|yakuza
army|black soldier|military uniform|prejudice|u.s. civil war
con|convict|escape|police|priest
detective|love|single|suspect|title from song
army|black soldier|military uniform|prejudice|u.s. civil war
beverly hills hotel|divorce|girl|troop|wilderness
education|english teacher|poet|professor|student
friendship|love|male female friendship|new york|sex
12 year old|artist|hotel|three word title|written and directed by cast member
desert|drunkenness|religious mother|strict mother|vietnam war
cat|cemetery|maine|secret|woods
cleveland indians|league|manager|owner|team
failing student|high school|payphone|teenager|telephone booth
bikini|cult film|fired from the job|martial arts|violence
battle|battle of agincourt|king|shakespeare play|sword and shield
battle|blood splatter|combat|game|showdown
1950s|african american|jewish|old age|widow
17th century|book|death|warlock|witch hunter
child|comic book|dream|murderer|nightmare
cat|halloween|kitten|michael myers|psychotronic
black militant|frustration|pizza|pizza parlor|pizzeria
cult film|friday the thirteenth|hockey mask|jason voorhees|murder spree
gambling|imagination|television|television station|tv show
bare breasts|japan|tokyo japan|toxic avenger|troma
affair|interview|marriage|sex|videotape
factory|flint michigan|general motors|michigan|quest
apocalypse|death|husband wife relationship|mother son relationship|murder
ambiguous ending|false memory|implanted memory|memory|space colony
airport|fuel|plane|police|terrorist
ambiguous ending|false memory|implanted memory|memory|space colony
driver|hot shot|racing|stock car driver|team
1970s|family relationships|mob hit|opera|repeating history
gremlin|horror host|hulk hogan|monster|skyscraper
detective|groupie|murder|music industry|rock n roll
crime boss|detective|dick tracy|gangster|orphan
band|dog|letter|time machine|tombstone
alien|drug lord|gang|hunter|predator
arachnophobia|death|doctor|small town|spider
analyst|defection|navy|soviet submarine|submarine
astoria|kindergarten|kindergarten teacher|school|teacher
childhood trauma|death|medical student|memory|near death experience
betrayal|gangster|mafia|organized crime|robbery
death|film blanc|invisibility|love|unrequited love
creation|inventor|magical realism|scissors|suburb
aborigine|australian|australian aborigine|australian outback|rancher
friendship|frontier|honor|outpost|soldier
airport|child protagonist|child swearing|christmas|home alone
businessman|falling in love with a prostitute|hotel|prostitute|rich man poor woman
boy|doll|foster home|killer doll|serial killer
comeback|friend|jazz|stage|trumpet
desert|giant worm|monster|pipe bomb|small town
black cat|cat|evil|photographer|undead
boy|island|pirate|ship|treasure
alien|halloween|killer robot|outer space|wrestler costume
student film|wonder years
apartment|dancing|debutante|new york|upper class
cigarette smoking|death|devil|nightmare|satanic cult
assassin|death|female protagonist|rogue|training
cat burglar|female lead|future|mixed martial arts|post apocalypse
